farm.ahy;nest.ahy;year.ahy;idbrood.ahy;idadult;exact_age;sex;ext5km.ahy;ext20km.ahy;density.ahy;comp.ahy;farm.hy;nest.hy;year.hy;idbrood.hy;ext5km.hy;ext20km.hy;density.hy;comp.hy;distance;d_fledgling;age_morpho;med_25km;mass
27;10;2019;271020191;218161875;1;F;12.89064986;22.12297581;5;5;38;09;2018;380920181;28.18487047;26.72452375;9;0;28632.69795;177;ASY;11747.54628;14.83
04;10;2014;041020141;251170611;2;M;30.24791547;23.32669628;9;0;16;07;2012;160720121;27.8586659;25.77212954;7;2;22171.95855;176;ASY;14797.66724;17.11
05;03;2011;050320111;222174852;3;M;26.19979632;30.6706542;7;0;13;01;2008;130120081;26.66762141;23.23688717;7;0;44924.21262;183;SY;12304.43984;17.53
17;05;2012;170520121;235143074;2;F;20.97018013;22.42955008;4;0;17;08;2010;170820101;20.97018013;22.42955008;5;3;0;174;ASY;17221.76638;17.57
03;05;2013;030520131;235144239;2;F;31.15810579;23.31237456;7;0;15;04;2011;150420111;22.75157533;26.58632913;9;0;24917.99842;178;ASY;15144.81953;17.64
16;07;2015;160720152;259197902;1;M;27.8586659;25.77212954;9;0;16;04;2014;160420141;27.8586659;25.77212954;7;0;0;178;ASY;14797.66724;17.76
30;09;2019;300920191;218161460;2;F;31.75959519;25.14172533;6;6;39;08;2017;390820171;36.74018204;25.87044216;3;6;5629.298094;178;ASY;14717.46666;17.98
26;10;2014;261020141;259160792;2;F;16.94831647;16.35798724;10;0;30;09;2012;300920122;31.75959519;25.14172533;6;5;31739.08415;199;ASY;15005.38112;18.28
14;09;2019;140920192;263183073;1;F;23.97921838;26.97873424;9;0;15;06;2018;150620181;22.75157533;26.58632913;10;0;3992.336771;173;ASY;15144.81953;18.3
16;08;2015;160820151;251170953;2;M;27.8586659;25.77212954;9;0;15;06;2013;150620131;22.75157533;26.58632913;10;0;6971.443593;170;ASY;15144.81953;18.42
30;07;2009;300720092;192111599;2;F;31.75959519;25.14172533;6;5;01;07;2007;010720072;29.64483483;23.55032393;9;1;30476.72359;184;ASY;17234.7322;18.48
31;08;2013;310820131;251170195;1;M;16.03414805;15.65134972;6;1;31;08;2012;310820121;16.03414805;15.65134972;5;2;0;171;ASY;15246.05796;18.68
36;01;2014;360120141;259160628;1;F;13.28686907;20.07487076;7;0;35;02;2013;350220131;16.35398765;22.23014005;7;0;10563.01771;175;ASY;18739.30861;18.94
40;09;2016;400920161;259196390;2;F;21.99414423;21.00071012;7;0;04;07;2014;040720141;30.24791547;23.32669628;9;0;7122.460963;175;ASY;11349.90591;18.99
37;02;2018;370220181;259197527;4;F;22.2630641;24.6210215;8;0;31;10;2014;311020141;16.03414805;15.65134972;8;1;39353.86831;177;ASY;15246.05796;19.41
18;06;2012;180620121;235142808;3;F;12.40452549;20.34041927;4;0;18;02;2009;180220091;12.40452549;20.34041927;6;0;0;174;ASY;14411.11138;19.41
14;03;2009;140320091;231195006;1;F;23.97921838;26.97873424;9;0;15;02;2008;150220081;22.75157533;26.58632913;10;0;3992.336771;175;ASY;15144.81953;19.42
20;07;2016;200720161;259196292;2;F;35.62074343;25.09890936;7;0;14;01;2014;140120141;23.97921838;26.97873424;10;0;24260.37236;174;ASY;15424.78796;19.57
26;02;2017;260220171;259197336;3;F;16.94831647;16.35798724;8;0;26;02;2014;260220141;16.94831647;16.35798724;10;0;0;176;ASY;14566.69253;19.61
26;08;2016;260820161;259196751;2;M;16.94831647;16.35798724;9;1;15;01;2014;150120141;22.75157533;26.58632913;10;0;43246.59887;174;ASY;15144.81953;19.63
02;09;2009;020920091;192111257;2;F;28.38934504;24.83714019;3;5;01;09;2007;010920071;29.64483483;23.55032393;9;1;14478.27221;174;ASY;17234.7322;19.72
41;03;2014;410320141;259160699;1;M;;;;0;17;04;2013;170420131;20.97018013;22.42955008;5;0;34858.92585;193;SY;17221.76638;19.75
03;02;2019;030220191;262181300;2;F;31.15810579;23.31237456;5;0;04;08;2017;040820171;30.24791547;23.32669628;9;0;1948.30842;177;ASY;11349.90591;19.92
15;01;2015;150120151;251170823;3;F;22.75157533;26.58632913;10;0;38;04;2012;380420122;28.18487047;26.72452375;9;0;4278.064402;176;ASY;11747.54628;19.95
31;07;2015;310720152;259197934;1;F;16.03414805;15.65134972;8;2;24;05;2014;240520141;16.25612628;17.43768561;7;0;49600.0409;184;ASY;16295.68385;19.96
22;05;2013;220520131;259160552;1;F;28.91127236;24.59745034;10;0;11;08;2012;110820121;29.97660875;31.27763644;3;0;11285.35142;177;ASY;12465.05281;19.97
