RECNOCAR	TYPEID1	FAKETIME	JNDEP	RDDS12	RDDS34	CRRD12	CRRD34	DENS05	DENS620	DENSRGN	CR05	CR620	CRRGN	P_CUT05	P_CUT620	P_REGEN	P_CUT052	P_CUT6202	P_REGEN2	TOPOVAR	TOPOMOY	COLLIER3	DVAR12KM	DVAR34KM
1473	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.237243653	609.253922	BO810_Calving_08	0.076232884	-0.06149988
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.97253418	609.085747	BO810_Calving_08	0.477008482	0.247712744
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258850097	608.995315	BO810_Calving_08	-0.082342929	0.07726908
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.358093262	609.372306	BO810_Calving_08	-0.088001425	-0.000867082
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099487304	609.10215	BO810_Calving_08	-0.004303542	0.010361142
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192138672	609.04844	BO810_Calving_08	-0.080668241	0.065316781
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18774414	609.06119	BO810_Calving_08	-0.023819799	0.029169724
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146606446	609.201354	BO810_Calving_08	0.050995052	-0.038920049
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0703125	609.123752	BO810_Calving_08	-0.006221355	0.007305103
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.151977539	608.618709	BO810_Calving_08	-0.104050553	0.165584109
1473	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155700683	609.054059	BO810_Calving_08	-0.122465052	0.091303976
1479	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.902770996	663.498147	BO810_Calving_08	-0.051629898	-0.008258627
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.328857422	661.791088	BO810_Calving_08	0.076444712	0.056259122
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662.845215	BO810_Calving_08	-0.004055313	-0.000789798
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.377319336	664.135665	BO810_Calving_08	-0.052654096	-0.06047958
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.215576172	663.726744	BO810_Calving_08	0.036156603	-0.000657336
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662.845215	BO810_Calving_08	0.002699865	0.001478728
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.357421875	663.036321	BO810_Calving_08	-0.023380482	-0.000598425
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-21.96459961	675.643232	BO810_Calving_08	-0.064736998	0.046672293
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.697875976	663.900287	BO810_Calving_08	-0.067361733	-0.010238025
1479	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.052612305	661.322304	BO810_Calving_08	0.144610663	0.056704083
