Type;Site;d15N;d13C;mean_d13C;min_d13C;max_d13C;mean_d15N;min_d15N;max_d15N
Fag_gra;MV4;-0 22;-26 15;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV4;-0 82;-27 88;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV4;-1 09;-31 29;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV4;-0 19;-26 31;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV4;-1 36;-25 72;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV4;0 24;-25 48;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV1;-0 28;-27 37;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV1;0 14;-28 85;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV1;-0 29;-26 12;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV1;-0 67;-27 32;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV1;-0 27;-30 73;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV1;-0 89;-27 81;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV5;-0 05;-27 77;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV5;-2 01;-28 97;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV5;-0 66;-30 03;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV5;-2 32;-29 35;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV5;0 55;-26 96;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Fag_gra;MV5;-1 43;-27 61;-27 87;-31 29;-25 48;-0 65;-2 32;0 55
Cla_car;MV4;-1 63;-30 59;-29 91;-30 59;-29 38;-2 87;-4 38;-1 63
