variable	CEN	LAB	NW	SW	all	rank_all
st_sep	0.003228977	0.010575437	0.057498876	0.017747507	0.011987676	9
st_oct	0.040519958	0.017167475	0.064728821	0.04845403	0.025335119	5
swe_sep	0.00548634	0.010729838	0.029424699	0.015304563	0.011039016	10
swe_oct	0.014457321	0.016838365	0.03006617	0.015280597	0.016896509	8
pcp_sep	0.026863787	0.026775925	0.032549839	0.016966446	0.026319443	4
pcp_oct	0.023107317	0.018382374	0.060391804	0.015751491	0.020819785	6
ndvi_jul	0.00691086	0.008270731	0.011595603	-0.004066204	0.007279128	12
ndvi_aug	-0.001755389	0.019862419	0.059625509	0.029941117	0.018808069	7
ndvi_sep	0.001771171	0.008846242	0.013844055	0.014848327	0.008329323	11
ndvi_oct	0.00315662	0.025838007	0.073071773	0.073808245	0.027604121	3
popRFH	0.015744705	0.02720666	0.159249447	0.027535187	0.031158317	2
popRGH	0.033780643	0.035119229	0.107100698	0.057759612	0.039677612	1
st_sep	0.00089201	0.010205162	0.067611732	0.013530521	0.011428232	9
st_oct	0.041949541	0.017838869	0.067181926	0.04731912	0.026110836	4
swe_sep	0.007010186	0.011057687	0.027702638	0.014126335	0.011357101	10
swe_oct	0.011585082	0.017412738	0.024992768	0.012758111	0.016462996	8
pcp_sep	0.02420344	0.026708686	0.030585279	0.018756925	0.025876385	5
pcp_oct	0.024168659	0.018921032	0.063843122	0.016513217	0.021559052	6
ndvi_jul	0.00834271	0.008466952	0.008855964	-0.00200738	0.007709546	12
ndvi_aug	-0.001550148	0.022668405	0.060033528	0.027671434	0.02068808	7
ndvi_sep	0.00286879	0.009759139	0.013235558	0.012341023	0.008978427	11
ndvi_oct	0.004644088	0.025610863	0.066116358	0.068919566	0.027081631	3
popRFH	0.017143414	0.025800744	0.121352435	0.025281819	0.028602523	2
popRGH	0.029709997	0.037462058	0.152719924	0.050370725	0.042214899	1
st_sep	0.001296576	0.009801638	0.061837434	0.016403774	0.011209617	9
st_oct	0.040929304	0.017013788	0.068030828	0.047942915	0.025442865	5
swe_sep	0.006028622	0.01058533	0.029451618	0.016120548	0.01106935	10
swe_oct	0.012405707	0.016513332	0.026978743	0.014838966	0.016141516	8
pcp_sep	0.025999983	0.026888501	0.02771181	0.020005912	0.026248619	4
pcp_oct	0.022277533	0.018671748	0.063402619	0.018141145	0.021198723	7
ndvi_jul	0.007816934	0.00874528	0.008795218	-0.003612156	0.007698712	12
ndvi_aug	0.001699401	0.02268604	0.056946328	0.030337475	0.021317385	6
ndvi_sep	0.002493739	0.010063589	0.010581013	0.01158243	0.008945972	11
ndvi_oct	0.006966969	0.025740436	0.061897239	0.076632065	0.027918641	2
popRFH	0.016355739	0.023710675	0.119787263	0.02668184	0.027060578	3
popRGH	0.028194383	0.034018262	0.147587007	0.048440479	0.039105418	1
st_sep	0.003010202	0.010311089	0.057892246	0.016498637	0.011654522	9
st_oct	0.039750605	0.018147439	0.068911026	0.046080146	0.025920903	5
swe_sep	0.005391744	0.010198468	0.027498014	0.016991795	0.010647941	10
swe_oct	0.014317347	0.015462186	0.031273354	0.017649726	0.016098414	8
pcp_sep	0.027345818	0.028655594	0.028471542	0.019839356	0.027761301	3
pcp_oct	0.023357716	0.017935492	0.062388615	0.017219442	0.020727817	6
ndvi_jul	0.008438512	0.008502568	0.012847485	-0.002581114	0.007854217	12
ndvi_aug	-0.001145931	0.021821422	0.062841046	0.029947543	0.020428609	7
ndvi_sep	0.001884292	0.008805064	0.013759803	0.015823937	0.008404987	11
