idanimal	herd	year	dwin	ewin	x	y	cluster
2004001	1	2005	38315	38480	361001.5764	1251268.665	1
2004001	1	2006	38675	38835	2953.373411	1284174.047	3
2004001	1	2007	39050	39190	468828.0742	1145873.351	1
2004001	1	2008	39420	39555	403031.0374	1053586.042	1
2004002	1	2005	38340	38465	296084.8273	1034271.362	1
2004002	1	2006	38700	38825	389285.0504	1217349.497	1
2004002	1	2007	39055	39190	482753.4943	1143876.206	1
2004002	1	2008	39415	39555	403929.498	1038214.858	1
2004002	1	2009	39775	39925	335364.6274	1192415.225	1
2004002	1	2010	40135	40270	406138.1006	1063254.486	1
2004004	1	2005	38320	38480	328200.6168	1341059.495	1
2004004	1	2006	38720	38830	-65462.5361	1256912.063	3
2004004	1	2007	39060	39195	375057.6861	1041846.72	1
2004006	2	2005	38325	38470	-391918.8187	938251.6432	1
2004007	2	2005	38332	38457	-556193.9111	895965.885	1
2004007	2	2006	38702	38777	-100138.328	1538710.092	2
2004007	2	2010	40124	40269	-479664.5331	1040998.631	1
2004007	2	2011	40534	40664	-399336.1542	999562.0569	1
2004007	2	2012	40889	40974	-342580.9687	1272734.569	1
2004009	2	2005	38340	38460	-542697.7749	935018.0104	1
2004009	2	2006	38695	38745	-348051.4105	1285512.8	1
2004009	2	2006	38775	38850	-166523.169	1771953.562	2
2004009	2	2007	39050	39190	-480602.2731	1008062.324	1
2004009	2	2008	39440	39555	-560478.6093	1077435.72	1
2004010	2	2005	38337	38467	-438114.0522	1033683.112	1
2004010	2	2006	38742	38847	-150037.4843	1768189.533	2
2004010	2	2007	39042	39192	-372675.8514	1097372.142	1
2004010	2	2008	39427	39557	-350159.3237	1060426.839	1
2004010	2	2009	39782	39937	-443375.9878	1076219.707	1
2004010	2	2010	40137	40267	-503540.7985	1096625.753	1
2004010	2	2012	40883	41001	-325107.3964	1185161.276	1
2004011	2	2005	38325	38467	-282539.7418	980742.6173	1
2004011	2	2006	38692	38787	-325938.5436	1225549.333	1
2004011	2	2006	38807	38850	-283707.7671	1549905.343	2
2004013	2	2005	38331	38466	-447220.2972	1001852.403	1
2004013	2	2006	38691	38751	-348924.4746	1260830.111	1
2004013	2	2006	38796	38846	-197223.8763	1782227.271	2
2004014	2	2005	38327	38467	-427634.5369	969786.2052	1
2004015	2	2005	38327	38457	-555390.5586	859133.8458	1
2004015	2	2006	38687	38747	-299414.8925	1187338.457	1
2004015	2	2006	38797	38827	-176898.978	1747692.809	2
2004016	2	2005	38330	38470	-276037.675	988127.5051	1
2004016	2	2006	38695	38820	-439962.7824	1038486.589	1
2004016	2	2007	39050	39190	-466519.5139	1042369.205	1
2004016	2	2008	39425	39550	-382206.3607	1021516.741	1
2004016	2	2009	39780	39930	-338517.4389	1061037.044	1
2004016	2	2010	40135	40270	-369731.806	1012377.599	1
2004016	2	2011	40545	40655	-486714.044	1087945.779	1
2005002	1	2006	38715	38830	402794.4191	1329730.712	1
2005002	1	2007	39056	39206	458189.1512	1257983.751	1
2005002	1	2008	39401	39566	65630.2665	1404006.766	3
2005002	1	2009	39781	39941	380396.8409	1234111.476	1
2005002	1	2010	40141	40251	496245.2148	1122767.962	1
2005004	1	2006	38720	38825	452138.9773	1242358.221	1
2005004	1	2007	39056	39191	479865.1946	1144039.642	1
2005005	1	2006	38715	38830	404724.8192	1286915.265	1
2005005	1	2007	39056	39191	375298.3463	1043359.855	1
2005005	1	2008	39411	39551	440776.7261	1066097.861	1
2005005	1	2009	39776	39926	366481.2545	1228519.247	1
2005007	1	2006	38700	38825	399224.5516	1234519.302	1
2005007	1	2007	39054	39189	470925.9876	1146627.074	1
2005007	1	2008	39423	39568	49068.50999	1389380.82	3
2005007	1	2009	39773	39928	378182.3712	1238060.506	1
2005010	1	2006	38715	38835	-67511.44742	1270803.203	3
2005010	1	2007	39056	39191	389025.709	1050570.826	1
2005010	1	2008	39456	39551	406039.9483	1137451.847	1
2005010	1	2009	39776	39931	346519.162	1216309.373	1
2005010	1	2010	40126	40271	403603.8242	1069033.055	1
2005011	1	2006	38705	38825	-347137.2315	1194244.664	2
2005011	2	2007	39060	39190	-430384.1499	904914.4811	1
2005011	2	2008	39430	39575	-372996.8987	1032212.205	1
2005012	1	2006	38720	38835	20483.99285	1424352.383	3
2005012	1	2007	39056	39181	463918.0531	1147706.884	1
2005012	1	2008	39401	39566	34048.70146	1282706.792	3
2005012	1	2009	39781	39926	382794.9589	1237849.77	1
2005013	2	2007	39051	39191	-470019.3072	1023943.225	1
2005014	2	2006	38707	38827	-469157.1462	1092811.035	1
2005014	2	2007	39050	39190	-518092.8748	1010991.103	1
2005014	2	2008	39435	39560	-555695.9547	1110994.123	1
2005014	2	2009	39780	39955	-376342.2915	1145002.119	1
2005014	2	2010	40135	40270	-505363.4375	1087524.044	1
2005016	2	2006	38707	38742	-467086.5523	1024047.455	1
2005016	2	2006	38757	38847	-284961.7136	1501202.931	2
2005016	2	2007	39051	39191	-511204.998	1016649.26	1
2005016	2	2008	39431	39556	-583915.976	1199619.272	1
2005016	2	2009	39786	39941	-368226.9769	1077625.716	1
2005017	2	2006	38707	38807	-401391.6397	1043552.376	1
2005017	2	2007	39071	39191	-385311.4002	1013958.851	1
2005017	2	2008	39436	39551	-448135.4322	1257205.957	1
2005017	2	2009	39781	39941	-355761.6123	1081732.745	1
2005017	2	2010	40151	40271	-544679.5055	1097576.479	1
2005017	2	2011	40522	40662	-419951.9491	1208281.105	1
2005019	2	2006	38682	38742	-260582.3176	1340354.745	1
2005019	2	2006	38777	38847	-161341.5102	1781057.934	2
2005019	2	2007	39056	39191	-451168.9292	1031873.169	1
2005019	2	2008	39441	39566	-289024.5872	1116977.669	1
2005019	2	2009	39781	39926	-357297.6829	1146509.268	1
2005020	2	2007	39056	39181	-444048.5649	860819.9254	1
2005020	2	2008	39426	39551	-590676.7861	968153.8719	1
2006000	2	2007	39057	39187	-509094.9066	844126.3276	1
2006000	2	2008	39442	39557	-370596.4893	1035979.137	1
2006000	2	2009	39817	39942	-484691.5743	1154931.19	1
2006000	2	2010	40132	40267	-534887.4847	1033042.787	1
2006000	2	2011	40537	40642	-419335.5309	1174773.242	1
2006001	2	2007	39051	39186	-391563.9361	970067.0337	1
2006001	2	2008	39431	39561	-564441.1115	1100067.728	1
2006002	2	2007	39050	39190	-519583.7093	863696.5729	1
2006003	1	2007	39056	39196	360934.9799	1040874.703	1
2006003	1	2008	39406	39556	431060.6505	1071027.943	1
2006004	1	2007	39051	39206	432550.2512	1264072.583	1
2006004	1	2008	39416	39556	402683.4537	1044715.721	1
2006004	1	2009	39766	39921	281436.3724	1186646.483	1
2006004	1	2010	40136	40286	400452.6229	1053284.255	1
2006005	1	2007	39051	39191	404714.5841	1128710.624	1
2006005	1	2008	39406	39556	421891.1432	1066616.933	1
2006005	1	2009	39781	39936	352608.3381	1240449.311	1
2006008	1	2007	39051	39191	372138.4828	1080144.524	1
2006008	1	2008	39446	39566	316206.5501	1315623.239	1
2006008	1	2009	39796	39926	377824.4246	1063386.264	1
2006009	2	2010	40128	40263	-518914.2802	1078045.778	1
2006009	2	2011	40523	40668	-428543.9285	1222030.302	1
2007022	1	2008	39433	39553	-607527.7276	977088.6664	2
2007022	1	2009	39798	39928	368360.8948	1071214.677	1
2007026	1	2008	39403	39553	386888.8334	1048281.641	1
2007026	1	2009	39773	39928	365713.142	1235805.276	1
2007027	1	2008	39413	39553	435395.1975	1064593.574	1
2007027	1	2009	39773	39943	347316.7176	1103827.317	1
2007028	1	2008	39403	39553	396409.8268	1042435.511	1
