ind	idanimal	herd	year	cluster	st_sep	st_oct	swe_sep	swe_oct	pcp_sep	pcp_oct	ndvi_jul	ndvi_aug	ndvi_sep	ndvi_oct
165	2004001	1	2004	LAB	NA	0.027802999	NA	2.502946267	NA	1.444914921	0.148103241	NA	NA	0.184674684
165	2004001	1	2005	CEN	5.887848622	-1.753789216	0.134819288	12.32435393	3.908623233	2.49045789	0.332180221	0.411085496	0.219222416	0.151522984
165	2004001	1	2006	LAB	4.130539162	-1.516633862	0.377724783	8.351667713	1.708061697	2.114486877	0.398898605	0.375129002	0.288719594	0.116697966
165	2004001	1	2007	LAB	2.980959921	-2.521625664	1.544976961	7.875374878	5.254658458	1.72037222	0.338858162	0.484492812	0.319100616	0.198515304
166	2004002	1	2004	LAB	NA	0.322601952	NA	2.94832801	NA	1.508839874	0.338858162	0.484492812	NA	0.178599365
166	2004002	1	2005	LAB	6.161332234	-1.636821819	0.087291429	13.63476904	3.859206077	2.521270868	0.338113723	0.363999477	0.234751983	0.142639935
166	2004002	1	2006	LAB	3.890788865	-1.857981657	0.477504269	8.169157751	2.166571717	2.033073284	0.389126589	0.360336986	0.295551414	0.108962952
166	2004002	1	2007	LAB	2.748415273	-1.665226958	2.549108217	6.598514092	5.786980073	1.855164497	0.297744661	0.409964269	0.279700287	0.200849766
166	2004002	1	2008	LAB	5.526546102	-1.105891788	0.425539088	9.656726928	1.616696325	3.021852996	0.382547948	0.446442477	0.319306422	0.2146615
166	2004002	1	2009	LAB	4.698410879	-5.259165782	0.415533434	15.82302509	2.648306165	2.801014593	0.392132646	0.295092982	0.284518571	0.169912658
168	2004004	1	2004	LAB	NA	0.322601952	NA	2.94832801	NA	1.508839874	0.392132646	0.295092982	NA	0.174009585
168	2004004	1	2005	CEN	6.187291696	-0.995113239	0.050720899	7.928606469	3.881913216	1.957459828	0.322163422	0.378894786	0.261506069	0.198671365
168	2004004	1	2006	LAB	4.26196835	-1.891746587	0.333748472	8.40722808	1.971724805	1.966120334	0.346823175	0.349891227	0.295518011	0.115113732
171	2004007	2	2005	NW	6.140460963	0.596931087	0.090238407	3.226890052	3.42172359	1.428584081	0.253062021	0.374398166	0.215393167	0.138858642
171	2004007	2	2006	SW	5.632034696	-0.271889389	0.010978673	6.477968453	1.547321139	2.947504588	0.209935693	0.354978998	0.293645228	0.151291368
171	2004007	2	2009	SW	5.114463258	-4.334392715	0.336205871	14.12542012	2.364493033	2.378005638	0.301448605	0.339523445	0.367434021	0.15373564
171	2004007	2	2010	SW	4.722896501	-1.335237648	0.042803986	10.42354769	2.658259421	1.84686017	0.222926602	0.211121847	0.239078339	0.130146721
171	2004007	2	2011	SW	4.897625152	-0.976148752	0.105271499	7.36190185	3.235069686	2.312164847	0.264315982	0.270464917	0.221220413	0.128478164
172	2004009	2	2005	SHIFT	2.055334514	-3.042350105	2.761136964	23.32652768	1.648960469	1.862301174	0.229293523	0.295321696	0.224258117	0.061566125
172	2004009	2	2006	SW	3.637656485	-1.944926632	0.422057556	12.79517064	1.56482252	2.935532019	0.169976019	0.338000939	0.258344472	0.145513579
172	2004009	2	2007	SW	0.25564946	-2.943984213	9.427986262	9.904931629	3.404283525	1.851791074	0.28176086	0.231928422	0.230672337	0.169509022
173	2004010	2	2005	NW	6.348259801	0.071949879	0.034611208	5.04507455	4.314336687	1.57662836	0.352387286	0.410860181	0.243673801	0.139187169
173	2004010	2	2006	SW	4.650605757	-2.253148648	0.187186812	14.1710327	1.627306072	3.016468288	0.262965789	0.349058316	0.284340608	0.110606724
173	2004010	2	2007	SW	2.505210194	-2.668850536	3.564687022	8.60715827	6.423546433	1.783433873	0.28350674	0.360454817	0.373208436	0.170049109
173	2004010	2	2008	SW	5.627431662	-1.407608884	0.804924759	12.53870922	3.625527868	3.320186251	0.301182585	0.385626003	0.283151359	0.154145849
173	2004010	2	2009	SW	4.825181076	-3.92320058	0.389619299	13.24833493	2.249864639	2.476382319	0.319914465	0.340577988	0.313343044	0.076628957
174	2004011	2	2005	SHIFT	6.006145192	0.205787921	0.058407524	3.699038689	3.603777569	1.394034565	0.178309991	0.313838514	0.21818291	0.14985123
174	2004011	2	2006	SW	4.775341907	-1.997888646	0.071458444	12.63468496	1.902710517	2.982976715	0.331206485	0.357005051	0.211095983	0.129284648
175	2004013	2	2005	SHIFT	5.177325707	0.255004423	0.191609544	4.948410893	3.052367829	1.645690229	0.264870802	0.325003345	0.262587193	0.165235839
175	2004013	2	2006	SW	3.70952796	-1.392173597	0.455292462	10.80120691	1.588763011	2.890103819	0.275345493	0.324906379	0.239760941	0.184765506
