id_chipmunk;laboratory;date_analysis;date_hairsample;site;sex;age;year;year_mast;season;body_mass;d15N;d13C;d15N_corrected;d13C_corrected;mean_Blup_exploration;type_explo
H042;KOSI;2015;02/06/2013;1;M;2;2013;Mast;spring;90 55;2 79;-23 23;2 79;-23 23;4 38;inter
H091;KOSI;2013;23/05/2013;2;M;2;2013;Mast;spring;92 57;3 27;-22 74;3 27;-22 74;2 34;inter
I002;KOSI;2013;28/05/2013;2;F;1;2013;Mast;spring;78 5;3 52;-22 87;3 52;-22 87;3 84;inter
I003;KOSI;2013;28/05/2013;2;F;1;2013;Mast;spring;92 67;4 04;-23 66;4 04;-23 66;-4 63;slow
I004;KOSI;2013;27/05/2013;2;F;1;2013;Mast;spring;74 14;3 25;-23 3;3 25;-23 3;-12 64;slow
I005;KOSI;2013;23/05/2013;2;M;1;2013;Mast;spring;96 75;3 28;-22 77;3 28;-22 77;4 4;fast
I006;KOSI;2013;30/05/2013;2;M;1;2013;Mast;spring;84;3 39;-22 64;3 39;-22 64;-13 72;slow
I007;KOSI;2013;28/05/2013;2;M;1;2013;Mast;spring;100 5;2 63;-22 18;2 63;-22 18;13 33;fast
I009;KOSI;2013;30/05/2013;2;F;1;2013;Mast;spring;81;3 47;-23 31;3 47;-23 31;-15 48;slow
I013;KOSI;2013;03/06/2013;2;M;1;2013;Mast;spring;88 8;3 43;-23 32;3 43;-23 32;-6 59;slow
I014;KOSI;2015;31/05/2013;2;F;1;2013;Mast;spring;85;3 11;-22 92;3 11;-22 92;1 17;inter
I015;KOSI;2013;03/06/2013;2;F;1;2013;Mast;spring;79 6;2 78;-22 88;2 78;-22 88;12 57;fast
I016;KOSI;2015;31/05/2013;2;M;1;2013;Mast;spring;n/a;3 57;-22 48;3 57;-22 48;1 53;inter
I022;KOSI;2013;03/06/2013;2;F;1;2013;Mast;spring;91 29;2 63;-22 92;2 63;-22 92;-3 57;slow
H002;KOSI;2015;23/06/2013;1;F;2;2013;Mast;spring;84;3 04;-23 06;3 04;-23 06;7 48;inter
H058;KOSI;2015;20/06/2013;3;F;1;2013;Mast;spring;88;1 49;-23 33;1 49;-23 33;-0 28;inter
H062;KOSI;2015;21/06/2013;3;F;2;2013;Mast;spring;n/a;3 04;-23 23;3 04;-23 23;1 97;inter
H063;KOSI;2015;20/06/2013;3;F;n/a;2013;Mast;spring;89 5;2 13;-23 99;2 13;-23 99;8 91;inter
