Year,Farm,FarmNB,noisnes,noisenvol,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2008,1,01_01,6,6,-0.850665733,ASY,0.917220666,1.487838899,-0.512841159,-0.555418012,-0.335510756,2.320150972,0.903748429
2009,1,01_01,5,5,-1.024164593,SY,0.132036729,-0.848830187,-0.529765049,-0.555418012,1.062764658,1.850624492,0.517754245
2011,1,01_01,4,4,1.057821725,SY,-0.653147207,0.700545646,-0.783623403,-0.555418012,-0.232245366,2.551714255,1.693722891
2010,1,01_01,4,4,-0.850665733,ASY,-0.653147207,-2.231095284,-0.191287244,-0.555418012,0.436883249,2.518344944,1.709280416
2012,1,01_01,6,6,-0.503668013,SY,0.917220666,1.356023103,-1.20672066,-0.555418012,1.681385815,1.699746906,0.838040612
2014,1,01_01,4,4,-1.024164593,ASY,-0.653147207,-0.437536091,1.162623979,-0.555418012,0.647534808,1.890410036,1.171511361
2010,1,01_02,6,0,-1.197663452,ASY,0.917220666,-1.798912346,0.587211709,-0.555418012,0.143885502,2.518344944,1.709280416
2014,1,01_02,6,6,0.016828566,ASY,0.917220666,-0.65362756,1.399558442,-0.555418012,1.047099182,1.890410036,1.171511361
2008,1,01_02,5,1,-1.197663452,ASY,0.132036729,0.586737473,-0.546688939,-0.555418012,-0.455014928,2.320150972,0.903748429
2013,1,01_02,5,3,1.925316024,ASY,0.132036729,0.426325572,0.451820587,-0.555418012,0.134788854,2.462671894,2.231903148
2012,1,01_02,5,0,0.190327426,ASY,0.132036729,2.399744898,-1.342111782,-0.555418012,1.132524702,1.699746906,0.838040612
2009,1,01_02,6,6,-1.371162312,ASY,0.917220666,-0.992891166,-0.360526146,-0.555418012,0.784181165,1.850624492,0.517754245
2011,1,01_03,3,3,-0.677166873,ASY,-1.438331144,0.591779607,-1.020557867,-0.55923219,-0.044428298,2.551714255,1.693722891
2007,1,01_03,4,4,-0.850665733,ASY,-0.653147207,1.128406755,-0.428221707,-0.55923219,-0.596897887,1.360847608,0.080689682
2016,1,01_03,4,0,0.710824005,ASY,-0.653147207,0.527672471,-1.037481757,-0.55923219,-0.878708042,2.454829477,2.231954541
2013,1,01_03,6,6,0.190327426,ASY,0.917220666,-0.581669101,-0.208211134,-0.55923219,0.396033609,2.462671894,2.231903148
2012,1,01_03,5,5,-1.197663452,ASY,0.132036729,0.096209838,-0.868242855,-0.55923219,1.704680483,1.699746906,0.838040612
2009,1,01_03,5,5,-1.024164593,ASY,0.132036729,-0.848830187,-0.529765049,-0.55923219,1.062764658,1.850624492,0.517754245
2014,1,01_03,3,3,-0.677166873,ASY,-1.438331144,0.210738316,0.65490727,-0.55923219,0.78344632,1.890410036,1.171511361
2008,1,01_03,5,5,-0.850665733,ASY,0.132036729,1.487838899,-0.512841159,-0.55923219,-0.335510756,2.320150972,0.903748429
2009,1,01_04,3,3,1.057821725,SY,-1.438331144,0.807871076,0.02872333,-0.559158057,2.216618737,1.850624492,0.517754245
2012,1,01_04,6,6,-0.156670294,ASY,0.917220666,1.680160306,-1.20672066,-0.559158057,1.433303213,1.699746906,0.838040612
2016,1,01_04,5,0,-1.024164593,ASY,0.132036729,-1.669257465,-0.749775623,-0.559158057,-0.737202115,2.454829477,2.231954541
2014,1,01_04,5,5,-1.024164593,ASY,0.132036729,-0.437536091,1.162623979,-0.559158057,0.647534808,1.890410036,1.171511361
2007,1,01_04,6,6,-0.503668013,ASY,0.917220666,2.2823352,-1.511350685,-0.559158057,-0.526958808,1.360847608,0.080689682
2010,1,01_04,5,5,-0.850665733,ASY,0.132036729,-2.231095284,-0.191287244,-0.559158057,0.436883249,2.518344944,1.709280416
2013,1,01_04,5,3,-1.544661172,ASY,0.132036729,-1.339429852,0.756450612,-0.559158057,0.697978377,2.462671894,2.231903148
2008,1,01_04,5,5,-0.850665733,ASY,0.132036729,1.487838899,-0.512841159,-0.559158057,-0.335510756,2.320150972,0.903748429
2011,1,01_04,1,0,0.363826286,ASY,-3.008699017,0.195611914,-1.22364455,-0.559158057,-0.09136524,2.551714255,1.693722891
2012,1,01_05,7,7,-0.850665733,ASY,1.702404603,0.78049949,-1.20672066,-0.559158057,1.787683004,1.699746906,0.838040612
2006,1,01_05,4,4,-0.330169153,ASY,-0.653147207,-0.871159639,1.189702203,-0.559158057,-0.037615328,1.378830176,-0.703936242
2007,1,01_05,6,5,0.190327426,ASY,0.917220666,1.27318804,-1.071329538,-0.559158057,-0.403620822,1.360847608,0.080689682
2013,1,01_05,4,2,-1.544661172,ASY,-0.653147207,-1.339429852,0.756450612,-0.559158057,0.697978377,2.462671894,2.231903148
2014,1,01_05,5,4,0.016828566,ASY,0.132036729,-0.65362756,1.399558442,-0.559158057,1.047099182,1.890410036,1.171511361
2008,1,01_05,5,5,-0.503668013,ASY,0.132036729,1.261663161,-0.546688939,-0.559158057,-0.196530854,2.320150972,0.903748429
2010,1,01_05,7,6,-0.850665733,ASY,1.702404603,-2.231095284,-0.191287244,-0.559158057,0.436883249,2.518344944,1.709280416
2011,1,01_06,6,6,0.363826286,ASY,0.917220666,0.195611914,-1.22364455,-0.559158057,-0.09136524,2.551714255,1.693722891
2014,1,01_06,5,0,-1.024164593,ASY,0.132036729,-0.437536091,1.162623979,-0.559158057,0.647534808,1.890410036,1.171511361
2013,1,01_06,5,0,-1.544661172,ASY,0.132036729,-1.339429852,0.756450612,-0.559158057,0.697978377,2.462671894,2.231903148
2006,1,01_06,6,0,-0.677166873,ASY,0.917220666,-1.123266353,0.573672597,-0.559158057,-0.056670344,1.378830176,-0.703936242
2008,1,01_06,6,6,0.190327426,ASY,0.917220666,0.001849896,-0.445145598,-0.559158057,0.113126309,2.320150972,0.903748429
2012,1,01_06,5,2,-0.156670294,SY,0.132036729,1.680160306,-1.20672066,-0.559158057,1.433303213,1.699746906,0.838040612
2010,1,01_06,6,6,-0.503668013,ASY,0.917220666,-0.871159639,0.316429465,-0.559158057,0.698717632,2.518344944,1.709280416
2016,1,01_06,4,3,1.751817164,ASY,-0.653147207,1.572114572,-1.003633977,-0.559158057,-0.951411566,2.454829477,2.231954541
2010,1,01_07,6,0,-1.197663452,ASY,0.917220666,-1.798912346,0.587211709,-0.558772213,0.143885502,2.518344944,1.709280416
2012,1,01_07,6,6,-0.503668013,ASY,0.917220666,1.356023103,-1.20672066,-0.558772213,1.681385815,1.699746906,0.838040612
2014,1,01_07,4,4,-1.024164593,ASY,-0.653147207,-0.437536091,1.162623979,-0.558772213,0.647534808,1.890410036,1.171511361
2006,1,01_07,5,5,-0.330169153,ASY,0.132036729,-0.871159639,1.189702203,-0.558772213,-0.037615328,1.378830176,-0.703936242
2016,1,01_07,5,5,0.016828566,ASY,0.132036729,-0.228647671,-1.291340111,-0.558772213,-0.82535227,2.454829477,2.231954541
2008,1,01_07,6,6,-0.850665733,ASY,0.917220666,1.487838899,-0.512841159,-0.558772213,-0.335510756,2.320150972,0.903748429
2014,1,01_08,6,6,-1.371162312,ASY,0.917220666,0.030662092,0.316429465,-0.556420916,0.511755234,1.890410036,1.171511361
2007,1,01_08,4,4,-0.503668013,ASY,-0.653147207,2.2823352,-1.511350685,-0.556420916,-0.526958808,1.360847608,0.080689682
2011,1,01_08,5,5,-1.024164593,ASY,0.132036729,0.231627159,-1.020557867,-0.556420916,-0.104688878,2.551714255,1.693722891
