Year,Farm,YearFarmNB,masse16,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2012,1,2012_01_01,20.57,0.90005954,SY,2.140339464,-1.416600738,-0.419595921,-0.570457641,1.371449953,1.699746906,0.838040612
2012,1,2012_01_01,22.6,0.90005954,SY,2.140339464,-1.416600738,-0.419595921,-0.570457641,1.371449953,1.699746906,0.838040612
2012,1,2012_01_01,21.06,0.90005954,SY,2.140339464,-1.416600738,-0.419595921,-0.570457641,1.371449953,1.699746906,0.838040612
2014,1,2014_01_01,19.07,-0.969262525,ASY,-0.397226662,1.316439698,-1.010642104,-0.570457641,0.750782833,1.890410036,1.171511361
2012,1,2012_01_01,20.6,0.90005954,SY,2.140339464,-1.416600738,-0.419595921,-0.570457641,1.371449953,1.699746906,0.838040612
2009,1,2009_01_01,22.75,-0.034601492,SY,-1.0630661,-0.168908365,-1.010642104,-0.570457641,1.363879816,1.850624492,0.517754245
2009,1,2009_01_01,24.05,-0.034601492,SY,-1.0630661,-0.168908365,-1.010642104,-0.570457641,1.363879816,1.850624492,0.517754245
2012,1,2012_01_01,20.27,0.90005954,SY,2.140339464,-1.416600738,-0.419595921,-0.570457641,1.371449953,1.699746906,0.838040612
2014,1,2014_01_01,19.87,-0.969262525,ASY,-0.397226662,1.316439698,-1.010642104,-0.570457641,0.750782833,1.890410036,1.171511361
2010,1,2010_01_01,20.79,-0.969262525,ASY,-1.448344112,0.692593511,-0.81362671,-0.570457641,0.583058591,2.518344944,1.709280416
2010,1,2010_01_01,22.6,-0.969262525,ASY,-1.448344112,0.692593511,-0.81362671,-0.570457641,0.583058591,2.518344944,1.709280416
2014,1,2014_01_01,22.69,-0.969262525,ASY,-0.397226662,1.316439698,-1.010642104,-0.570457641,0.750782833,1.890410036,1.171511361
2008,1,2008_01_01,19.18,0.90005954,ASY,0.503072558,-0.436271016,-0.81362671,-0.570457641,-0.226875926,2.320150972,0.903748429
2009,1,2009_01_01,24.57,-0.034601492,SY,-1.0630661,-0.168908365,-1.010642104,-0.570457641,1.363879816,1.850624492,0.517754245
2008,1,2008_01_01,18.6,0.90005954,ASY,0.503072558,-0.436271016,-0.81362671,-0.570457641,-0.226875926,2.320150972,0.903748429
