Year,Farm,YearFarmNB,wing,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2011,1,2011_01_01,51.15,-0.963708045,SY,0.325292428,-0.727678133,1.359366133,-0.568099556,-0.224416889,2.551714255,1.693722891
2012,1,2012_01_01,50.04,0.906903009,SY,2.152684375,-1.419281665,-0.414589121,-0.568099556,1.372662427,1.699746906,0.838040612
2011,1,2011_01_01,45.84,-0.963708045,SY,0.325292428,-0.727678133,1.359366133,-0.568099556,-0.224416889,2.551714255,1.693722891
2014,1,2014_01_01,45.95,-0.963708045,ASY,-0.39561138,1.288272588,-1.005907539,-0.568099556,0.753597991,1.890410036,1.171511361
2012,1,2012_01_01,42.96,0.906903009,SY,2.152684375,-1.419281665,-0.414589121,-0.568099556,1.372662427,1.699746906,0.838040612
2014,1,2014_01_01,47.21,-0.963708045,ASY,-0.39561138,1.288272588,-1.005907539,-0.568099556,0.753597991,1.890410036,1.171511361
2012,1,2012_01_01,47.74,0.906903009,SY,2.152684375,-1.419281665,-0.414589121,-0.568099556,1.372662427,1.699746906,0.838040612
2009,1,2009_01_01,51.17,-0.028402518,SY,-1.064266197,-0.183224289,-1.005907539,-0.568099556,1.365111837,1.850624492,0.517754245
2008,1,2008_01_01,52.55,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.568099556,-0.221536261,2.320150972,0.903748429
2009,1,2009_01_01,53.13,-0.028402518,SY,-1.064266197,-0.183224289,-1.005907539,-0.568099556,1.365111837,1.850624492,0.517754245
2009,1,2009_01_01,50.37,-0.028402518,SY,-1.064266197,-0.183224289,-1.005907539,-0.568099556,1.365111837,1.850624492,0.517754245
2008,1,2008_01_01,55.88,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.568099556,-0.221536261,2.320150972,0.903748429
2011,1,2011_01_01,46.57,-0.963708045,SY,0.325292428,-0.727678133,1.359366133,-0.568099556,-0.224416889,2.551714255,1.693722891
2011,1,2011_01_01,46.09,-0.963708045,SY,0.325292428,-0.727678133,1.359366133,-0.568099556,-0.224416889,2.551714255,1.693722891
2008,1,2008_01_01,52.09,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.568099556,-0.221536261,2.320150972,0.903748429
2009,1,2009_01_01,49.41,-0.028402518,SY,-1.064266197,-0.183224289,-1.005907539,-0.568099556,1.365111837,1.850624492,0.517754245
2009,1,2009_01_01,50.33,-0.028402518,SY,-1.064266197,-0.183224289,-1.005907539,-0.568099556,1.365111837,1.850624492,0.517754245
2010,1,2010_01_01,53.53,-0.963708045,ASY,-1.451173286,0.6702439,-0.8088014,-0.568099556,0.586306845,2.518344944,1.709280416
2008,1,2008_01_01,54.34,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.568099556,-0.221536261,2.320150972,0.903748429
2012,1,2012_01_01,51.54,0.906903009,SY,2.152684375,-1.419281665,-0.414589121,-0.568099556,1.372662427,1.699746906,0.838040612
2014,1,2014_01_01,47.82,-0.963708045,ASY,-0.39561138,1.288272588,-1.005907539,-0.568099556,0.753597991,1.890410036,1.171511361
2008,1,2008_01_01,54.96,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.568099556,-0.221536261,2.320150972,0.903748429
2012,1,2012_01_01,50.85,0.906903009,SY,2.152684375,-1.419281665,-0.414589121,-0.568099556,1.372662427,1.699746906,0.838040612
2014,1,2014_01_01,46.77,-0.963708045,ASY,-0.39561138,1.288272588,-1.005907539,-0.568099556,0.753597991,1.890410036,1.171511361
2010,1,2010_01_01,54.23,-0.963708045,ASY,-1.451173286,0.6702439,-0.8088014,-0.568099556,0.586306845,2.518344944,1.709280416
2012,1,2012_01_01,54.36,0.906903009,SY,2.152684375,-1.419281665,-0.414589121,-0.568099556,1.372662427,1.699746906,0.838040612
2009,1,2009_01_02,45.75,0.906903009,ASY,-0.965059251,-0.300944039,-1.400119818,-0.568099556,1.062653384,1.850624492,0.517754245
2009,1,2009_01_02,45.75,0.906903009,ASY,-0.965059251,-0.300944039,-1.400119818,-0.568099556,1.062653384,1.850624492,0.517754245
2013,1,2013_01_02,58.53,-1.34883385,ASY,1.036341679,0.06693018,2.34489683,-0.568099556,0.04951755,2.462671894,2.231903148
2009,1,2009_01_02,46.32,0.906903009,ASY,-0.965059251,-0.300944039,-1.400119818,-0.568099556,1.062653384,1.850624492,0.517754245
2014,1,2014_01_02,49.65,0.906903009,ASY,-0.594025272,1.464852213,0.176729297,-0.568099556,1.145030123,1.890410036,1.171511361
2009,1,2009_01_02,46.87,0.906903009,ASY,-0.965059251,-0.300944039,-1.400119818,-0.568099556,1.062653384,1.850624492,0.517754245
2014,1,2014_01_02,34.42,0.906903009,ASY,-0.594025272,1.464852213,0.176729297,-0.568099556,1.145030123,1.890410036,1.171511361
2014,1,2014_01_02,44.59,0.906903009,ASY,-0.594025272,1.464852213,0.176729297,-0.568099556,1.145030123,1.890410036,1.171511361
2013,1,2013_01_02,53.7,-1.34883385,ASY,1.036341679,0.06693018,2.34489683,-0.568099556,0.04951755,2.462671894,2.231903148
2009,1,2009_01_02,47.02,0.906903009,ASY,-0.965059251,-0.300944039,-1.400119818,-0.568099556,1.062653384,1.850624492,0.517754245
2014,1,2014_01_02,42.01,0.906903009,ASY,-0.594025272,1.464852213,0.176729297,-0.568099556,1.145030123,1.890410036,1.171511361
2013,1,2013_01_02,53.88,-1.34883385,ASY,1.036341679,0.06693018,2.34489683,-0.568099556,0.04951755,2.462671894,2.231903148
2014,1,2014_01_02,46.06,0.906903009,ASY,-0.594025272,1.464852213,0.176729297,-0.568099556,1.145030123,1.890410036,1.171511361
2009,1,2009_01_02,44.88,0.906903009,ASY,-0.965059251,-0.300944039,-1.400119818,-0.568099556,1.062653384,1.850624492,0.517754245
2014,1,2014_01_02,46.51,0.906903009,ASY,-0.594025272,1.464852213,0.176729297,-0.568099556,1.145030123,1.890410036,1.171511361
2008,1,2008_01_02,34.78,-0.578582239,ASY,0.375557281,-0.345088945,-1.203013679,-0.568099556,-0.355325683,2.320150972,0.903748429
2012,1,2012_01_03,46.6,-0.028402518,ASY,0.599103599,-1.12498229,-1.203013679,-0.571875746,1.515774224,1.699746906,0.838040612
2008,1,2008_01_03,57.98,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571875746,-0.221536261,2.320150972,0.903748429
2009,1,2009_01_03,52.93,-0.028402518,ASY,-1.064266197,-0.183224289,-1.005907539,-0.571875746,1.365111837,1.850624492,0.517754245
2013,1,2013_01_03,50.83,0.906903009,ASY,-0.021270504,0.331799618,0.373835436,-0.571875746,0.307897495,2.462671894,2.231903148
