Site;ID_bucket;tree_species;Location;Number_seeds-2013;Number_seeds-2014;Number_seeds-2015;Number_seeds-2016
1;1BE1;Fagus_grandifolia;A1;0;7;5;17
1;1BE10;Fagus_grandifolia;J10;0;0;0;0
1;1BE11;Fagus_grandifolia;M1;0;0;1;2
1;1BE12;Fagus_grandifolia;M7;0;0;0;0
1;1BE13;Fagus_grandifolia;M13;0;19;1;5
1;1BE2;Fagus_grandifolia;A7;0;0;0;0
1;1BE3;Fagus_grandifolia;A13;0;0;0;0
1;1BE4;Fagus_grandifolia;D4;0;19;1;42
1;1BE5;Fagus_grandifolia;D10;0;1;0;2
1;1BE6;Fagus_grandifolia;G1;0;0;0;0
1;1BE7;Fagus_grandifolia;G7;0;0;0;0
1;1BE8;Fagus_grandifolia;G13;0;0;2;19
1;1BE9;Fagus_grandifolia;J4;0;22;1;n/a
2;4BE1;Fagus_grandifolia;A1;0;0;0;13
2;4BE10;Fagus_grandifolia;J10;0;2;1;2
2;4BE11;Fagus_grandifolia;CC04;0;12;1;21
2;4BE12;Fagus_grandifolia;CC10;0;4;0;3
2;4BE13;Fagus_grandifolia;M13;0;n/a;n/a;n/a
2;4BE2;Fagus_grandifolia;A7;0;n/a;2;1
2;4BE3;Fagus_grandifolia;A13;0;1;2;0
2;4BE4;Fagus_grandifolia;D4;0;0;0;2
2;4BE5;Fagus_grandifolia;D10;0;1;0;9
2;4BE6;Fagus_grandifolia;G1;0;4;3;16
2;4BE7;Fagus_grandifolia;G7;0;4;0;0
2;4BE8;Fagus_grandifolia;G13;0;0;0;0
2;4BE9;Fagus_grandifolia;J4;0;10;0;9
3;5BE1;Fagus_grandifolia;A1;0;0;0;0
3;5BE2;Fagus_grandifolia;A7;3;11;4;3
3;5BE3;Fagus_grandifolia;D4;1;0;0;2
3;5BE4;Fagus_grandifolia;D10;0;1;1;0
3;5BE5;Fagus_grandifolia;G1;0;0;0;0
3;5BE6;Fagus_grandifolia;G7;0;0;0;0
3;5BE7;Fagus_grandifolia;J4;0;0;0;n/a
3;5BE8;Fagus_grandifolia;J10;0;9;1;5
1;1RM1;Acer_rubrum;A1;36;0;11;1
1;1RM2;Acer_rubrum;A7;0;0;0;n/a
1;1RM3;Acer_rubrum;A13;64;8;0;1
1;1RM4;Acer_rubrum;D4;9;0;0;n/a
1;1RM5;Acer_rubrum;D10;2;0;0;n/a
1;1RM6;Acer_rubrum;G1;47;0;19;2
1;1RM7;Acer_rubrum;G7;187;0;31;n/a
1;1RM8;Acer_rubrum;G13;0;0;0;n/a
1;1RM9;Acer_rubrum;J4;19;0;17;1
1;1RM10;Acer_rubrum;J10;16;0;0;1
1;1RM11;Acer_rubrum;M1;29;0;93;3
1;1RM12;Acer_rubrum;M7;110;0;24;15
1;1RM13;Acer_rubrum;M13;53;0;8;1
2;4RM1;Acer_rubrum;CC4;220;0;n/a;n/a
2;4RM2;Acer_rubrum;CC10;10;0;20;n/a
2;4RM3;Acer_rubrum;A1;0;0;0;0
2;4RM4;Acer_rubrum;A7;44;0;15;n/a
2;4RM5;Acer_rubrum;A13;n/a;0;1;n/a
2;4RM6;Acer_rubrum;D4;23;0;6;1
2;4RM7;Acer_rubrum;D10;59;0;15;n/a
2;4RM8;Acer_rubrum;G1;41;0;101;n/a
2;4RM9;Acer_rubrum;G7;69;0;0;n/a
2;4RM10;Acer_rubrum;G13;131;1;128;1
2;4RM11;Acer_rubrum;J4;30;0;0;n/a
2;4RM12;Acer_rubrum;J10;9;0;0;3
3;5RM1;Acer_rubrum;A1;17;0;0;n/a
3;5RM2;Acer_rubrum;A7;18;0;0;4
3;5RM3;Acer_rubrum;D4;30;0;0;10
3;5RM4;Acer_rubrum;D10;40;0;70;3
3;5RM5;Acer_rubrum;G1;45;0;55;1
3;5RM6;Acer_rubrum;G7;29;0;0;n/a
3;5RM7;Acer_rubrum;J4;19;1;0;0
3;5RM8;Acer_rubrum;J10;55;24;0;24
