ID;SY.dLD;SY.dTEMP;SY.dDENSITY;ASY.dLD;ASY.dTEMP;ASY.dDENSITY;TOTAL.dLD;TOTAL.dTEMP;TOTAL.dDENSITY
I0269;NA;NA;NA;0;1.735294118;0.1;0;1.735294118;0.1
I0289;NA;NA;NA;2;0.868538324;-0.2;2;0.868538324;-0.2
I0617;NA;NA;NA;-8;2.239393939;0;-8;2.239393939;0
I0946;NA;NA;NA;0;0.727389706;-0.2;0;0.727389706;-0.2
I0952;NA;NA;NA;-15;0.344117647;-0.2;-15;0.344117647;-0.2
I1038;-4;-1.732575758;0.2;0;0.795075758;-0.1;-4;-1.732575758;0.2
I1233;NA;NA;NA;-1;0.98125;0;-1;0.98125;0
I1222;-11;1.887412587;0.1;NA;NA;NA;-11;1.887412587;0.1
I0846;NA;NA;NA;-3;0.702272727;0;-3;0.702272727;0
I1097;-22;1.463419913;0;NA;NA;NA;-22;1.463419913;0
I1075;-1;-1.606165099;0.2;-1;0.719612069;0.1;-1;-1.606165099;0.2
I0177;NA;NA;NA;3;-1.492329545;-0.3;3;-1.492329545;-0.3
I0921;-9;0.297950089;-0.5;NA;NA;NA;-9;0.297950089;-0.5
I1120;NA;NA;NA;-9;0.757680251;0.1;-9;0.757680251;0.1
I1153;NA;NA;NA;-11;0.545;-0.6;-11;0.545;-0.6
I0112;NA;NA;NA;-24;0.868538324;-0.2;-24;0.868538324;-0.2
I0452;NA;NA;NA;-10;-2.334587252;0.2;-10;-2.334587252;0.2
I0675;NA;NA;NA;-16;0.141176471;0.4;-16;0.141176471;0.4
I0837;-23;0.314705882;0.4;-9;0.183272059;0;-23;0.314705882;0.4
I0845;-7;0.238235294;-0.4;-10;0.344117647;0;-7;0.238235294;-0.4
I0850;NA;NA;NA;2;0.223136819;0.2;2;0.223136819;0.2
I0343;-11;0.868538324;-0.3;5;-1.955882353;0.4;-11;0.868538324;-0.3
I0621;NA;NA;NA;-21;2.766666667;-0.3;-21;2.766666667;-0.3
I0985;NA;NA;NA;18;1.84262069;-0.3;18;1.84262069;-0.3
I1028;NA;NA;NA;8;-2.096759259;0.3;8;-2.096759259;0.3
I0994;NA;NA;NA;-7;1.293303571;0.1;-7;1.293303571;0.1
I1012;NA;NA;NA;12;-2.075378788;-0.1;12;-2.075378788;-0.1
I1037;-2;-2.075378788;-0.1;NA;NA;NA;-2;-2.075378788;-0.1
I1074;1;-2.096759259;0.1;NA;NA;NA;1;-2.096759259;0.1
I1141;-26;0.719612069;0.1;NA;NA;NA;-26;0.719612069;0.1
I1142;-4;1.84262069;0.1;NA;NA;NA;-4;1.84262069;0.1
I1163;NA;NA;NA;-4;1.293303571;0.1;-4;1.293303571;0.1
