YEAR;ID;AGE;FARM;LD;TEMPs;DENSITYs;LATs;M.TEMP;M.DENSITY;TEMP.PLAST;DENSITY.PLAST
2005;I0004;ASY;9;136;-1.057844101;0.239138363;-1.435966748;-0.697884561;0.465452657;-0.359959541;-0.226314294
2005;I0008;ASY;2;137;-0.132443607;1.144395538;-1.630830336;-0.702405306;0.465452657;0.569961699;0.678942881
2005;I0016;ASY;5;140;-1.092000846;1.144395538;0.805018189;-0.534442219;1.144395538;-0.557558627;0
2005;I0019;ASY;23;148;-0.61044001;0.239138363;-0.310756202;-0.24690879;0.465452657;-0.36353122;-0.226314294
2005;I0023;ASY;13;153;-0.61044001;-0.666118811;-1.258596011;-0.625406527;-0.552961665;0.014966518;-0.113157147
2005;I0024;ASY;24;146;-0.47717944;1.144395538;2.278523782;-0.110604928;0.782292668;-0.366574512;0.36210287
2005;I0025;ASY;18;144;-0.47717944;0.69176695;1.96485481;-0.062545925;0.918081244;-0.414633516;-0.226314294
2005;I0026;ASY;18;142;-0.47717944;0.69176695;1.96485481;-0.494721479;0.69176695;0.017542039;-9.99E-16
2005;I0032;ASY;22;147;-1.092000846;-0.213490224;-0.090364539;-1.223012312;0.540890755;0.131011466;-0.754380979
2005;I0047;ASY;11;150;-1.092000846;0.69176695;0.375979066;-1.846076673;0.69176695;0.754075827;0
2005;I0053;ASY;40;136;-1.057844101;0.239138363;-1.35792255;-0.697884561;-0.213490224;-0.359959541;0.452628587
2005;I0057;ASY;15;133;-0.795850609;1.144395538;-0.066634594;-0.401358974;1.144395538;-0.394491634;0
2005;I0062;ASY;37;147;-0.266327228;0.69176695;0.033362889;0.285145781;0.69176695;-0.551473009;0
2005;I0071;ASY;27;135;-0.47717944;0.239138363;1.280261195;-0.062545925;0.01282407;-0.414633516;0.226314294
2005;I0075;ASY;26;139;-0.47717944;0.69176695;1.600838206;-0.062545925;0.918081244;-0.414633516;-0.226314294
2005;I0082;ASY;7;138;-0.132443607;-0.213490224;-1.600042061;0.254464118;0.239138363;-0.386907725;-0.452628587
2005;I0087;ASY;3;136;-0.266327228;-0.213490224;-1.229407266;-0.714634503;0.239138363;0.448307275;-0.452628587
2005;I0089;ASY;40;138;-1.057844101;0.239138363;-1.35792255;-0.697884561;-0.213490224;-0.359959541;0.452628587
2005;I0092;ASY;9;135;-1.057844101;0.239138363;-1.435966748;-1.875562409;0.239138363;0.817718308;0
2005;I0112;ASY;33;159;0.205955455;-1.118747399;0.310478836;0.582491063;-1.571375986;-0.376535608;0.452628587
2005;I0117;ASY;27;131;-0.47717944;0.239138363;1.280261195;-0.062545925;0.01282407;-0.414633516;0.226314294
2005;I0127;ASY;35;138;-0.266327228;-0.666118811;-0.598210052;0.285145781;-0.213490224;-0.551473009;-0.452628587
2005;I0143;ASY;36;136;-0.056788736;0.239138363;-0.251600417;0.119597621;0.69176695;-0.176386357;-0.452628587
2005;I0165;ASY;11;141;-1.092000846;0.69176695;0.375979066;-1.223012312;0.540890755;0.131011466;0.150876196
2005;I0174;SY;20;150;-0.795850609;0.69176695;0.990719367;-0.401358974;0.465452657;-0.394491634;0.226314294
2005;I0178;SY;20;155;-0.795850609;0.69176695;0.990719367;-0.697132953;0.01282407;-0.098717656;0.678942881
2005;I0188;ASY;22;148;-1.092000846;-0.213490224;-0.090364539;-1.223012312;0.540890755;0.131011466;-0.754380979
2005;I0192;ASY;15;133;-0.795850609;1.144395538;-0.066634594;-0.401358974;1.144395538;-0.394491634;0
2005;I0196;ASY;30;135;-0.795850609;-0.666118811;0.27044227;-0.401358974;-0.213490224;-0.394491634;-0.452628587
2005;I0197;ASY;9;137;-1.057844101;0.239138363;-1.435966748;-0.697884561;0.465452657;-0.359959541;-0.226314294
2005;I0198;ASY;9;135;-1.057844101;0.239138363;-1.435966748;-1.363016613;0.390014559;0.305172512;-0.150876196
2005;I0203;ASY;17;134;0.192818245;0.239138363;-0.989585067;0.362904055;-0.439804518;-0.170085809;0.678942881
2005;I0206;ASY;15;137;-0.795850609;1.144395538;-0.066634594;-0.697132953;1.144395538;-0.098717656;0
2005;I0207;ASY;19;135;-0.056788736;-1.118747399;-0.151356026;0.119597621;-1.118747399;-0.176386357;0
2005;I0210;ASY;36;137;-0.056788736;0.239138363;-0.251600417;-0.28339272;-0.213490224;0.226603985;0.452628587
2005;I0211;ASY;36;138;-0.056788736;0.239138363;-0.251600417;0.119597621;0.69176695;-0.176386357;-0.452628587
2005;I0214;ASY;3;138;-0.266327228;-0.213490224;-1.229407266;-0.714634503;-0.439804518;0.448307275;0.226314294
2005;I0217;ASY;39;136;-0.795850609;-0.213490224;0.501354333;-0.401358974;0.465452657;-0.394491634;-0.678942881
