PondID,eDNA,Acoustic,Snowday
3,1,1,24
6,1,0,24
7,1,0,24
9,0,0,24
16,1,0,20
18,1,0,20
20,0,0,20
24,0,0,20
30,0,0,22
38,1,1,22
41,1,1,22
47,0,0,20
50,0,0,21
51,0,0,21
58,0,0,21
63,0,0,21
66,0,0,23
67,0,0,23
85,0,0,23
86,0,0,23
103,0,0,38
104,0,0,39
105,0,0,39
108,0,0,39
110,0,0,39
113,1,0,38
114,1,0,36
115,0,0,36
120,0,0,36
123,0,0,36
132,0,0,39
141,0,0,32
147,0,0,33
148,0,0,32
152,0,0,37
153,1,1,38
154,0,1,37
156,1,1,38
158,0,0,32
159,1,0,37
160,1,1,37
161,1,1,37
162,1,1,33
163,0,0,38
167,1,1,36
168,0,0,31
172,1,0,38
173,,1,31
174,0,0,31
177,0,0,31
178,0,0,31
182,0,0,31
185,0,1,38
187,1,1,30
189,1,0,40
190,0,0,30
193,0,0,40
194,1,1,40
197,0,0,30
198,1,1,30
203,0,0,40
204,1,0,40
205,1,0,33
