Year,Lemming_density,Passerine_nestdensity,Sandpiper_nestdensity,N_tot_P,Passerine_nestsuccess_prob,Passerine_nestsuccess_prob_LowCI,Passerine_nestsuccess_prob_UppCI,Sandpiper_nestsuccess_prob,Sandpiper_nestsuccess_prob_LowCI,Sandpiper_nestsuccess_prob_UppCI,N_tot_S
2005,32,7.3,3.875,19,0.297489482423696,0.061804714169461,0.595558699819908,0.281676313810823,0.098925744616842,0.503048336518934,31
2006,51,10.3,4.25,30,0.082275127773535,0.018661716495428,0.212474609947443,0.036023346808119,0.005777249236316,0.120707076873539,34
2007,42,6.1,1.625,26,0.691387739838832,0.376552769873762,0.870791247856308,0.899037132973742,0.458616615136932,0.985746943824262,13
2008,281.2,7.3,1.125,38,0.433010874961296,0.230791720517975,0.621820512864176,0.752750005708855,0.121480386265023,0.96365735460492,9
2009,14,6.9,1.125,50,0.516271341897187,0.317086443388266,0.684612490081285,0.999999999963232,0,1,9
2010,384,6.8,4.125,39,0.738933846046903,0.500641095687928,0.876606272421076,0.701488063277243,0.46423552615767,0.849541466666666,33
2011,504,6.8,2.375,45,0.882492597518984,0.603572643723765,0.969702761055872,0.848400596193868,0.509581374253123,0.961010746674365,19
2012,9,12.3,2.875,73,0.185004093794149,0.094907432067675,0.299888385892072,0.240279994219424,0.083341011766273,0.444584219305568,23
2013,2,7.3,2.125,41,0.256633113120206,0.112818886046836,0.430698932062501,0.248698809204357,0.070083758675501,0.48708925772944,18
2014,648,5.62,2.75,44,0.559540278499834,0.349853039118952,0.726432309292997,0.650847196605227,0.341477955781386,0.843424765365495,22
2015,364.7,5.75,2.25,40,0.855102230728965,0.61119194967919,0.951676039075263,0.696357616017786,0.312741661447802,0.894600424063981,19
2016,253.3,6,3.25,45,0.668269044955421,0.440717546334424,0.8208570299062,0.514308158394664,0.256357518992331,0.724403042526932,26
2017,18.8,7.6,3.625,57,0.323687634392467,0.179224089952832,0.478558862943098,0.261164009972418,0.095040044491817,0.46813020131728,29
2018,1.6,5.25,1.12,41,0.259466248182802,0.111797175922404,0.438183107956824,0.094005912262131,0.000559840796448,0.500315252936365,5
2019,137,5.25,0.25,37,0.502153457475794,0.272322643124997,0.695859525468579,0.358742587984931,0.000555708460962,0.883057071890095,2
