Fir,Site,Nom_site,Apical_2015,Lateral_2015,Apical_2016,Laterale2016,Apical,Lateral,Colar diam,mycorrhizal apex,non mycorrhizal apex,myc rate,%TA,%BS,%BF
1E1S1,1,BS,1.5,1.65,0.7,1.95,2.2,3.6,0.7,55,1,0.9821428571,0,100,0
1E1S2,1,BS,1.8,2.05,4,2.75,5.8,4.8,0.9,57,1,0.9827586207,21.662763466,78.337236534,0
1E1S3,1,BS,6.7,4.45,10.5,8.3,17.2,12.75,2.3,16,2,0.8888888889,0,100,0
1E1S4,1,BS,5.1,7.1,5,4.5,10.1,11.6,0.8,71,1,0.9861111111,23.9193083573,76.0806916427,0
1E1S5,1,BS,1.3,2.9,2.9,2.9,4.2,5.8,0.6,31,3,0.9117647059,0,100,0
1E1S6E,1,BSE,3.5,2.25,NA,1.9,3.5,4.15,1.8,28,2,0.9333333333,0,100,0
1E1S7E,1,BSE,2.3,5.95,2.6,5.2,4.9,11.15,0.73,39,2,0.9512195122,0,65.4226125137,0
1E1S8E,1,BSE,4.2,4.1,10.8,6.55,15,10.65,1,82,3,0.9647058824,18.4156378601,81.5843621399,0
1E1S9E,1,BSE,1.1,2.65,2.3,1.95,3.4,4.6,0.4,46,5,0.9019607843,0,100,0
1P1S1,1,TA,13.3,6.3,14.9,2.05,28.2,8.35,1,82,1,0.9879518072,90.3036238981,2.2526934378,7.4436826641
1P1S3,1,TA,2.7,4.7,1,1.3,3.7,6,1.1,107,4,0.963963964,60.7196401799,0,39.2803598201
1P1S4,1,TA,4.4,4.4,NA,3.6,4.4,8,0.6,94,1,0.9894736842,58.2027168234,18.4952978056,23.301985371
1P1S5,1,TA,11.7,7,NA,3.45,11.7,10.45,0.86,86,1,0.9885057471,67.9669030733,11.8203309693,20.2127659574
2E2S1,2,BS,5.4,4.2,2.8,2.55,8.2,6.75,1,67,3,0.9571428571,0,38.4007897335,0
2E2S2,2,BS,6.2,5.15,8.7,3.45,14.9,8.6,1.1,36,1,0.972972973,0,100,0
2E2S3,2,BS,3.4,1.7,NA,2.3,3.4,4,0.46,20,1,0.9523809524,0,78.2178217822,0
2E2S4,2,BS,NA,2.75,NA,2.6,0,5.35,0.6,86,1,0.9885057471,0,61.0155610156,0
2E2S5,2,BS,0.7,1.6,0,0.9,0.7,2.5,0.6,58,3,0.9508196721,0,53.7935748462,0
2E2S6E,2,BSE,3.4,2.3,3.6,3.95,7,6.25,0.6,69,3,0.9583333333,0,100,0
2E2S7E,2,BSE,0.5,1.95,0.3,1.2,0.8,3.15,0.6,55,0,1,0,75.4928076718,0
2E2S8E,2,BSE,3.5,2.75,4.2,5.7,7.7,8.45,1,66,2,0.9705882353,0,93.1350114416,6.8649885584
2E2S9E,2,BSE,NA,5.85,7.3,4.85,7.3,10.7,1.1,78,1,0.9873417722,12.4843161857,72.7728983689,0
2E2S10E,2,BSE,3.55,2.4,3.35,1.6,6.9,4,0.46,118,0,1,0,71.5533374922,0
2P2S1,2,TA,2.8,5,4.2,3.55,7,8.55,1.1,79,3,0.9634146341,67.0411985019,26.7166042447,6.2421972534
2P2S3,2,TA,7.4,7.45,18.1,8.2,25.5,15.65,1.6,76,3,0.9620253165,100,0,0
2P2S4,2,TA,6.3,5.85,5,8.7,11.3,14.55,1.2,68,1,0.9855072464,0,0,100
2P2S5,2,TA,1.7,2.8,0.7,3.15,2.4,5.95,1.2,73,2,0.9733333333,62.8676470588,22.0588235294,15.0735294118
3E3S1,3,BS,7.4,6.4,9,3,16.4,9.4,0.8,82,0,1,0,100,0
3E3S2,3,BS,3.4,8.3,11.8,4.05,15.2,12.35,1.5,127,0,1,0,94.5897204689,5.4102795311
