Sapin,C total,N total,P total,K total,Ca total,Mg total,Mn total,Cu total,Zn total,Al total,Fe total,B total,
1E1S1,53.83,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1E1S2,53.75,1.07,2.26,6.09,6.82,1.30,0.63,0.00,0.07,0.23,0.05,0.00,0.03
1E1S3,54.13,1.48,1.83,6.04,4.78,1.00,0.38,0.00,0.08,0.22,0.05,0.00,0.02
1E1S4,53.86,1.47,1.70,5.94,6.25,1.16,0.48,0.00,0.05,0.25,0.02,0.00,0.02
1E1S5,53.46,1.20,1.55,5.33,4.88,0.76,0.45,0.00,0.04,0.64,0.09,0.00,0.02
1E1S6E,54.34,0.96,1.52,4.06,4.25,1.36,0.42,0.00,0.03,0.58,0.03,0.00,0.02
1E1S7E,53.77,1.42,2.06,6.41,4.54,1.11,0.40,0.00,0.05,0.05,0.03,0.00,0.01
1E1S8E,53.82,1.40,2.50,6.55,4.96,0.89,0.32,0.00,0.04,0.42,0.04,0.00,0.01
1E1E9E,52.88,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1E1S10E,54.76,1.09,1.49,5.30,2.31,1.08,0.12,0.00,0.02,0.31,0.02,0.00,0.02
1P1S1,52.82,1.73,2.22,9.26,5.75,0.88,0.49,0.01,0.04,0.22,0.04,0.00,0.02
1P1S3,53.05,1.76,1.64,5.39,12.77,1.06,0.76,0.01,0.05,0.17,0.05,0.00,0.01
1P1S4,53.02,1.63,1.86,5.87,10.06,0.94,0.67,0.01,0.04,0.27,0.04,0.00,0.02
1P1S5,53.54,1.59,1.73,5.53,9.12,1.17,0.52,0.01,0.04,0.27,0.04,0.00,0.02
2E2S1,52.40,1.15,1.38,5.29,12.35,1.50,0.53,0.01,0.08,0.35,0.15,0.00,0.04
2E2S2,53.59,0.89,1.31,6.23,4.88,0.83,0.15,0.00,0.02,0.34,0.03,0.00,0.02
2E2S3,53.48,1.08,1.65,5.28,7.36,1.05,0.69,0.00,0.05,0.22,0.03,0.00,0.02
2E2S4,52.80,1.45,1.93,7.13,5.44,1.15,0.67,0.00,0.05,0.32,0.19,0.00,0.02
2E2S5,54.03,0.99,1.04,6.84,6.44,0.91,0.32,0.00,0.02,0.49,0.04,0.00,0.02
2E2S6E,53.85,0.99,1.45,5.06,7.34,0.90,0.65,0.00,0.04,0.13,0.04,0.00,0.01
2E2S7E,52.41,0.92,0.85,4.20,9.10,1.26,0.74,0.00,0.04,0.23,0.04,0.00,0.01
2E2S8E,53.83,1.01,1.31,5.35,7.25,1.25,0.64,0.00,0.05,0.24,0.02,0.00,0.02
2E2S9E,52.50,1.41,1.90,8.49,5.92,1.35,0.39,0.01,0.03,0.22,0.04,0.00,0.02
2E2S10E,53.60,1.19,1.51,6.50,6.03,1.03,0.59,0.00,0.06,0.08,0.01,0.00,0.02
2P2S1,52.79,1.78,1.69,9.10,5.75,0.99,0.27,0.01,0.04,0.32,0.04,0.00,0.02
2P2S2,53.75,1.33,1.81,6.80,7.42,1.29,0.45,0.00,0.03,0.28,0.04,0.00,0.02
2P2S3,52.62,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2P2S4,53.08,1.74,2.16,5.92,7.12,1.15,0.36,0.00,0.04,0.09,0.04,0.00,0.01
2P2S5,52.99,1.53,1.47,6.14,7.24,0.94,0.35,0.00,0.03,0.30,0.08,0.00,0.01
3E3S1,53.79,1.30,1.56,6.54,7.04,1.42,0.15,0.00,0.05,0.05,0.02,0.00,0.01
3E3S2,53.16,1.33,2.17,6.27,6.16,1.10,0.46,0.00,0.05,0.22,0.02,0.00,0.02
3E3S3,53.78,1.34,2.45,7.64,7.15,1.46,0.55,0.01,0.04,0.33,0.04,0.00,0.02
3E3S4,53.41,1.41,2.30,5.97,5.73,1.17,0.69,0.00,0.06,0.11,0.04,0.00,0.02
3E3S5,53.25,1.62,1.76,7.10,5.55,1.27,0.39,0.01,0.04,0.24,0.04,0.00,0.02
3E3S6E,52.09,1.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3E3S7E,53.81,1.10,2.73,5.31,12.62,1.45,0.75,0.00,0.08,0.30,0.01,0.00,0.01
3E3S8E,54.10,1.15,1.79,5.37,6.44,1.03,0.57,0.00,0.05,0.35,0.02,0.00,0.01
3E3S9E,53.48,1.36,2.64,6.96,8.33,1.42,0.79,0.00,0.08,0.06,0.03,0.00,0.02
3E3S10E,53.75,1.25,2.47,6.53,7.47,1.09,0.73,0.00,0.09,0.03,0.02,0.00,0.02
3P3S1,52.25,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3P3S2,52.63,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3P3S3,53.09,1.52,2.16,6.69,8.49,1.10,0.79,0.00,0.07,0.17,0.06,0.00,0.01
