farm;nest;year;idbrood;n_fledglings;date_fledgling;recruits;mean_mass;total_fledgling;density.nnich;density.hosp;mean_ext5km;male;female;sex_ratio;ENSO_mo;ENSO_mb
12;07;2018;120720182;4;180;0;22.21;25;7;0;23.80975113;1;3;0.333333333;-0.266666667;-0.1
01;05;2018;10520181;5;176;0;19.606;21;6;0;29.64483483;1;4;0.25;-0.266666667;-0.1
01;08;2018;10820181;5;173;0;21.808;21;6;0;29.66313411;3;2;1.5;-0.266666667;-0.1
01;09;2018;10920181;6;180;0;19.96833333;21;6;0;29.62733117;2;4;0.5;-0.266666667;-0.1
01;10;2018;11020181;5;190;0;20.606;21;6;0;29.60107568;1;4;0.25;-0.266666667;-0.1
02;10;2018;21020181;5;176;0;23.8;5;1;7;27.90242505;3;2;1.5;-0.266666667;-0.1
03;03;2018;30320181;6;174;0;21.525;15;4;2;30.87088664;4;3;1.333333333;-0.266666667;-0.1
03;04;2018;30420181;5;178;0;23.216;15;4;2;31.0864999;4;1;4;-0.266666667;-0.1
03;10;2018;31020181;4;174;0;22.82;15;4;2;31.12468971;1;3;0.333333333;-0.266666667;-0.1
04;03;2018;40320181;5;172;0;20.586;36;10;0;30.70460187;1;4;0.25;-0.266666667;-0.1
04;04;2018;40420181;6;176;0;21.70166667;36;10;0;30.16119279;4;2;2;-0.266666667;-0.1
04;05;2018;40520181;2;178;0;19.17;36;10;0;30.24791547;2;1;2;-0.266666667;-0.1
04;06;2018;40620181;7;178;0;20.65428571;36;10;0;30.38396665;4;3;1.333333333;-0.266666667;-0.1
04;07;2018;40720181;5;170;0;18.282;36;10;0;30.49535357;;5;;-0.266666667;-0.1
04;08;2018;40820181;4;188;0;22.4225;36;10;0;30.59878429;1;3;0.333333333;-0.266666667;-0.1
04;09;2018;40920181;7;178;0;20.15285714;36;10;0;30.7133537;6;1;6;-0.266666667;-0.1
05;04;2018;50420181;6;177;0;20.2;15;7;0;26.26901534;1;5;0.2;-0.266666667;-0.1
05;08;2018;50820181;5;177;0;22.46;15;7;0;26.25469416;;3;;-0.266666667;-0.1
05;09;2018;50920181;4;181;0;21.9225;15;7;0;26.10193495;2;2;1;-0.266666667;-0.1
06;01;2018;60120181;7;177;0;18.52285714;18;3;0;43.32155814;5;2;2.5;-0.266666667;-0.1
06;03;2018;60320181;6;179;0;23.5;18;3;0;43.156069;1;4;0.25;-0.266666667;-0.1
06;05;2018;60520181;5;179;0;20.796;18;3;0;43.05979887;2;3;0.666666667;-0.266666667;-0.1
07;02;2018;70220181;6;176;0;20.30833333;16;5;2;24.85360575;4;2;2;-0.266666667;-0.1
07;03;2018;70320181;6;178;0;19.06;16;5;2;24.82655464;2;4;0.5;-0.266666667;-0.1
07;08;2018;70820181;4;184;0;20.7375;16;5;2;24.82814589;1;3;0.333333333;-0.266666667;-0.1
09;02;2018;90220181;3;193;0;18.20666667;24;5;0;22.66087455;2;2;1;-0.266666667;-0.1
09;04;2018;90420181;5;171;1;20.088;24;5;0;22.52402775;4;1;4;-0.266666667;-0.1
09;06;2018;90620181;4;179;0;19.4725;24;5;0;22.42457514;2;2;1;-0.266666667;-0.1
09;07;2018;90720181;7;185;0;18.82428571;24;5;0;22.41741455;;6;;-0.266666667;-0.1
