variable	NW	SHIFT	SW	all	rank_all
st_sep	0.006328884	-0.002406056	0.009980748	0.008926174	5
st_oct	0.024108047	0.035328876	0.005226464	0.008822031	6
swe_sep	0.003221272	0.017281796	0.0031384	0.003940574	10
swe_oct	0.034812199	0.004916857	0.005235565	0.008217417	8
pcp_sep	0.014103074	0.00217987	0.002722219	0.00384753	11
pcp_oct	0.002680726	-0.001692396	0.005628845	0.004907763	9
ndvi_jul	0.002264051	0.013608486	0.003170174	0.003664486	12
ndvi_aug	0.050475066	0.036235523	0.008060301	0.0139631	4
ndvi_sep	0.030519042	0.016321713	0.005336416	0.008534813	7
ndvi_oct	0.029425469	0.023933128	0.012271963	0.014700841	3
popRFH	0.093585692	0.09982088	0.028879353	0.039354574	2
popRGH	0.279817772	0.32222024	0.098722222	0.129277459	1
st_sep	0.006817446	-0.001627092	0.009236381	0.00840348	5
st_oct	0.022003512	0.031155266	0.004252347	0.007532216	8
swe_sep	0.004351509	0.021109217	0.002937149	0.004067248	10
swe_oct	0.035183252	0.008625619	0.004139723	0.007573125	7
pcp_sep	0.012193052	0.001683739	0.003035425	0.003914718	11
pcp_oct	0.003018522	-0.000943675	0.005878655	0.005177214	9
ndvi_jul	0.001077606	0.013758999	0.003181276	0.003561764	12
ndvi_aug	0.045274353	0.031460229	0.007218762	0.012455471	4
ndvi_sep	0.025273404	0.013163204	0.005840208	0.008254406	6
ndvi_oct	0.02515824	0.029272887	0.011960284	0.014243506	3
popRFH	0.137900906	0.058012707	0.031400127	0.043775859	2
popRGH	0.253347453	0.332200845	0.111674942	0.138134191	1
st_sep	0.009117116	-0.000535442	0.009402652	0.008849983	5
st_oct	0.022828781	0.030792533	0.003875359	0.007279162	8
swe_sep	0.00281067	0.019693812	0.002924618	0.003837752	11
swe_oct	0.03454921	0.008485957	0.004468025	0.007771569	7
pcp_sep	0.012352421	0.002090054	0.003217066	0.004070792	10
pcp_oct	0.002130195	-0.001221485	0.00595776	0.005154454	9
ndvi_jul	0.002671979	0.013672031	0.003250251	0.003772463	12
ndvi_aug	0.046167866	0.033770166	0.008148104	0.013477974	4
ndvi_sep	0.025573393	0.013646198	0.005274875	0.007827579	6
ndvi_oct	0.025511814	0.02618864	0.011382021	0.01365909	3
popRFH	0.123515202	0.084495067	0.035341198	0.047013183	2
popRGH	0.257370088	0.328585778	0.108653428	0.135693973	1
st_sep	0.007165046	-0.001859159	0.009370737	0.008525207	5
st_oct	0.021890279	0.030311676	0.003720493	0.007018793	7
swe_sep	0.002693293	0.023127694	0.002830286	0.003920929	11
swe_oct	0.033436142	0.008974221	0.003647357	0.006990897	8
pcp_sep	0.01323848	0.000242416	0.003220127	0.004093866	10
pcp_oct	-0.000187702	-0.000311527	0.006012427	0.005037494	9
ndvi_jul	0.000210762	0.011655058	0.002679012	0.002927475	12
ndvi_aug	0.040707235	0.035424938	0.006828856	0.011867777	4
ndvi_sep	0.028360601	0.015646768	0.005577362	0.008444929	6
ndvi_oct	0.028545544	0.02776914	0.012643556	0.015106847	3
popRFH	0.133229816	0.065540822	0.032453223	0.044551626	2
popRGH	0.263133189	0.331404152	0.109581871	0.137176323	1
st_sep	0.008069982	-0.001652988	0.00920829	0.008484491	5
st_oct	0.021991665	0.031299408	0.004160174	0.007454926	8
swe_sep	0.004540975	0.016889833	0.002332227	0.003345625	12
swe_oct	0.038445365	0.00973863	0.004041684	0.007855273	6
pcp_sep	0.014146456	-1.08E-05	0.003019647	0.004008845	10
pcp_oct	0.001909976	-0.004577555	0.005395805	0.004488653	9
ndvi_jul	0.00260996	0.012254583	0.002888609	0.00339431	11
ndvi_aug	0.046392881	0.030042515	0.007685548	0.012877187	4
ndvi_sep	0.028581001	0.011954576	0.004841405	0.007666733	7
ndvi_oct	0.028281862	0.025823131	0.013732453	0.015902777	3
popRFH	0.124636554	0.093595722	0.032882416	0.045538944	2
popRGH	0.259437462	0.32849625	0.104669116	0.132570995	1
st_sep	0.007186687	-0.001236587	0.009903744	0.00899364	5
st_oct	0.026751233	0.032330514	0.004653832	0.008405163	8
swe_sep	0.00454731	0.017671006	0.003051985	0.004030172	11
swe_oct	0.039409607	0.00916175	0.005170659	0.008868663	6
pcp_sep	0.016133845	0.001634681	0.003665683	0.004830459	10
pcp_oct	0.002752265	-0.001300747	0.005511195	0.004839742	9
ndvi_jul	0.005624778	0.009160692	0.003303061	0.003857086	12
ndvi_aug	0.043855295	0.03164064	0.008359844	0.013240373	4
ndvi_sep	0.027379155	0.015483065	0.005891113	0.008603795	7
ndvi_oct	0.032877034	0.02740867	0.011760852	0.014751789	3
popRFH	0.098647117	0.107130331	0.031499952	0.042480734	2
popRGH	0.267112427	0.320185146	0.100400074	0.129222087	1
st_sep	0.006828455	-0.00310762	0.009705102	0.00871129	5
st_oct	0.021663561	0.029796221	0.004018293	0.007230132	8
swe_sep	0.002148365	0.019410885	0.003117057	0.003881959	10
swe_oct	0.035735366	0.008053249	0.003997872	0.007473206	7
pcp_sep	0.012776591	0.000510617	0.002943445	0.003834006	11
pcp_oct	0.002543032	-0.001114049	0.00524089	0.004623461	9
ndvi_jul	0.003022614	0.015423873	0.002872751	0.00358162	12
ndvi_aug	0.04750368	0.031633091	0.007970436	0.013332466	4
ndvi_sep	0.028527503	0.011911878	0.006071981	0.008695257	6
ndvi_oct	0.028027815	0.022937071	0.012306037	0.014504981	3
popRFH	0.124604609	0.095387498	0.033817036	0.046466393	2
popRGH	0.25300761	0.326822165	0.102385324	0.129892391	1
st_sep	0.008365689	-0.000291815	0.009481643	0.008839146	5
st_oct	0.026875449	0.035266962	0.004615162	0.008571844	7
swe_sep	0.002832776	0.01832239	0.002923886	0.003771329	11
swe_oct	0.034598223	0.007154852	0.005694311	0.008746453	6
pcp_sep	0.01261706	0.003696705	0.002862249	0.003893603	10
pcp_oct	0.002068443	-0.00122582	0.005845113	0.0050498	9
ndvi_jul	0.001591205	0.013452352	0.003045847	0.003482671	12
ndvi_aug	0.043331163	0.036530038	0.008059788	0.013258468	4
ndvi_sep	0.031319908	0.013322853	0.005212561	0.008349292	8
ndvi_oct	0.029135914	0.023981797	0.012576644	0.014878828	3
popRFH	0.093617451	0.100187389	0.031599437	0.041690289	2
popRGH	0.27201055	0.326675498	0.100800661	0.130603707	1
st_sep	0.007523065	-0.001322632	0.009399719	0.008610861	5
st_oct	0.021619219	0.029339805	0.004627134	0.007702415	7
swe_sep	0.002393691	0.020993255	0.003114306	0.004009964	11
swe_oct	0.034506428	0.008305789	0.003766821	0.007146781	8
pcp_sep	0.012562921	0.001064174	0.003323135	0.004147692	10
pcp_oct	0.002592622	-0.003067035	0.005419894	0.004666664	9
ndvi_jul	0.002816884	0.013574049	0.003487901	0.00398955	12
ndvi_aug	0.042998363	0.03763091	0.007459393	0.012733223	4
ndvi_sep	0.027496345	0.012691309	0.005552036	0.008206144	6
ndvi_oct	0.025130163	0.022004184	0.011097375	0.013116686	3
popRFH	0.12616121	0.091246649	0.034934528	0.047339293	2
popRGH	0.259848035	0.335184044	0.106834271	0.134819572	1
st_sep	0.006421794	-0.002168	0.008664816	0.007808127	6
st_oct	0.022570511	0.028739636	0.003753426	0.007037875	7
swe_sep	0.003398648	0.020548271	0.002807256	0.003843265	11
swe_oct	0.032351946	0.005823164	0.003544045	0.006627936	8
pcp_sep	0.011226398	0.002368175	0.003138683	0.003921687	10
pcp_oct	0.001768048	-0.002756145	0.005782183	0.004903155	9
ndvi_jul	0.00029816	0.012964348	0.002196934	0.002577988	12
ndvi_aug	0.042635142	0.03805693	0.007044659	0.012407859	4
ndvi_sep	0.02537699	0.011930032	0.006261882	0.008522177	5
ndvi_oct	0.022662669	0.027889224	0.01118303	0.013292739	3
popRFH	0.146067406	0.057697163	0.032400235	0.045416487	2
popRGH	0.262371816	0.341788049	0.111934221	0.139859631	1
st_sep	0.008450838	-0.001076745	0.009608223	0.008894437	5
st_oct	0.021129596	0.029936795	0.00432532	0.00741276	8
swe_sep	0.00227322	0.019620078	0.002697689	0.003576248	11
swe_oct	0.035825408	0.010150102	0.003940229	0.007510191	7
pcp_sep	0.01212268	0.002987296	0.003051695	0.003950898	10
pcp_oct	0.000627572	-0.00201115	0.005431536	0.004534628	9
ndvi_jul	0.002021449	0.013242058	0.002617211	0.003128002	12
ndvi_aug	0.043573358	0.032207414	0.00735094	0.012383399	4
ndvi_sep	0.027352402	0.01408925	0.005636674	0.008292193	6
ndvi_oct	0.028413153	0.027111344	0.011659581	0.014238843	3
popRFH	0.13818182	0.067057543	0.03330568	0.04584009	2
popRGH	0.256746271	0.324603644	0.108931604	0.135620162	1
st_sep	0.007842784	-0.002642751	0.009278606	0.008483076	7
st_oct	0.025893421	0.030243737	0.004860189	0.008392939	8
swe_sep	0.003038111	0.017749531	0.00287218	0.003716528	12
swe_oct	0.039174896	0.005274316	0.005530119	0.008964668	6
pcp_sep	0.014212547	-0.001029882	0.00351136	0.004371482	10
pcp_oct	0.002860727	-0.002731497	0.0056421	0.004916756	9
ndvi_jul	0.004370195	0.012000294	0.003481748	0.004025256	11
ndvi_aug	0.041954221	0.0334208	0.008312648	0.013134629	4
ndvi_sep	0.028839266	0.015634633	0.006327856	0.009130372	5
ndvi_oct	0.028305842	0.025042032	0.010563932	0.013160913	3
popRFH	0.100000572	0.104457538	0.031664479	0.042633242	2
popRGH	0.271363236	0.319928143	0.099283488	0.128826874	1
st_sep	0.007212946	-0.000858638	0.009805369	0.008952062	5
st_oct	0.021666112	0.030293215	0.004357782	0.007531415	8
swe_sep	0.002542399	0.01959825	0.002760483	0.003665585	11
swe_oct	0.035041958	0.011275735	0.003931281	0.007542605	7
pcp_sep	0.012944459	0.002076077	0.003561057	0.004451683	10
pcp_oct	0.003748704	-0.003365616	0.005615878	0.004910302	9
ndvi_jul	0.00332877	0.013577899	0.002800739	0.003435161	12
ndvi_aug	0.043842032	0.035855163	0.006408662	0.011850472	4
ndvi_sep	0.026667437	0.015879287	0.006072124	0.008741598	6
ndvi_oct	0.025924091	0.030804566	0.013637769	0.015845754	3
popRFH	0.14624877	0.051637938	0.028514583	0.041759499	2
popRGH	0.253621216	0.334077148	0.112400206	0.138793727	1
st_sep	0.007914475	-0.002317491	0.009996371	0.009116844	5
st_oct	0.025557217	0.033695929	0.005521057	0.009112647	6
swe_sep	0.003779258	0.018882904	0.003116097	0.004042953	11
swe_oct	0.037562692	0.009020574	0.005273674	0.008817231	7
pcp_sep	0.015923719	0.000184039	0.003203645	0.004342686	10
pcp_oct	0.002672104	-0.000798887	0.005149299	0.004570457	9
ndvi_jul	0.003853138	0.013701552	0.002935202	0.003619354	12
ndvi_aug	0.044579761	0.033046299	0.0088611	0.01384527	4
ndvi_sep	0.03063684	0.01077111	0.005512962	0.008404166	8
ndvi_oct	0.030571612	0.02451435	0.011507476	0.014192724	3
popRFH	0.091707394	0.107395009	0.030852072	0.041160257	2
popRGH	0.278172331	0.323943642	0.102671714	0.132559062	1
st_sep	0.0079413	-0.002642654	0.009458079	0.008657581	5
st_oct	0.020602538	0.030720539	0.00348909	0.006717659	8
swe_sep	0.002718117	0.019496914	0.002566907	0.003510404	12
swe_oct	0.036140147	0.007554122	0.004167508	0.007620561	7
pcp_sep	0.01314955	0.000586784	0.003040053	0.003926933	10
pcp_oct	0.003014178	-0.002337879	0.005371768	0.004699816	9
ndvi_jul	0.002531686	0.014560249	0.003140461	0.0037087	11
ndvi_aug	0.04376726	0.033799492	0.006929754	0.012202638	4
ndvi_sep	0.027316044	0.012337413	0.005542244	0.008152699	6
ndvi_oct	0.023635102	0.025831361	0.011609624	0.013616699	3
popRFH	0.147517542	0.05743856	0.031080804	0.044412644	2
popRGH	0.257017047	0.339545472	0.111856354	0.138997699	1
st_sep	0.006293887	-0.000670688	0.00963592	0.008717713	5
st_oct	0.023485934	0.030648025	0.003831105	0.007303072	8
swe_sep	0.002099937	0.021324823	0.002966783	0.003904601	11
swe_oct	0.035037207	0.010103878	0.003814157	0.007352367	7
pcp_sep	0.013472633	0.001499397	0.002932474	0.003943457	10
pcp_oct	0.002525055	-0.000874791	0.005653822	0.004977047	9
ndvi_jul	0.001945716	0.015099363	0.002684778	0.003282092	12
ndvi_aug	0.044987153	0.029539356	0.00665716	0.011833575	4
ndvi_sep	0.028469969	0.013660642	0.005408436	0.008232682	6
ndvi_oct	0.026655335	0.026728656	0.01204807	0.014357727	3
popRFH	0.125098946	0.085357581	0.035932375	0.047702404	2
popRGH	0.253304054	0.327934064	0.108245204	0.135012412	1
st_sep	0.006996576	-0.000772122	0.009495578	0.008672636	5
st_oct	0.022712714	0.031340014	0.0042715	0.007614401	7
swe_sep	0.002728267	0.018816863	0.002858877	0.003718812	11
swe_oct	0.036278107	0.00820291	0.00404568	0.007551644	8
