Biomass,Year,Farm,YearFarm,Comp.2,Comp.1,MAX,RN,JJ
0.037,2006,1,2006_01,-0.688499938,1.361343116,-0.928689082,-0.644440183,-1.346754744
0.0212,2006,1,2006_01,-0.688499938,1.361343116,-0.928689082,-0.644440183,-1.346754744
0.0337,2006,1,2006_01,-0.688499938,1.361343116,0.009500863,-0.339644179,0.137106208
0.0246,2006,1,2006_01,-0.688499938,1.361343116,0.009500863,-0.339644179,0.137106208
0.0052,2006,1,2006_01,-0.688499938,1.361343116,-0.140609528,-0.50100677,-0.522387549
0.023,2006,1,2006_01,-0.688499938,1.361343116,0.277555133,-0.644440183,-0.357514109
0.0035,2006,1,2006_01,-0.688499938,1.361343116,0.277555133,-0.644440183,-0.357514109
0.0173,2006,1,2006_01,-0.688499938,1.361343116,0.903015097,1.166406663,-0.19264067
0.0167,2006,1,2006_01,-0.688499938,1.361343116,0.903015097,1.166406663,-0.19264067
0.0381,2006,1,2006_01,-0.688499938,1.361343116,0.277555133,0.771964775,-0.027767231
0.0304,2006,1,2006_01,-0.688499938,1.361343116,0.277555133,0.771964775,-0.027767231
0.015,2006,1,2006_01,-0.688499938,1.361343116,0.261471877,-0.644440183,0.301979647
0.0066,2006,1,2006_01,-0.688499938,1.361343116,0.261471877,-0.644440183,0.301979647
0.0055,2006,1,2006_01,-0.688499938,1.361343116,0.127444742,1.34569843,0.466853086
0.0092,2006,1,2006_01,-0.688499938,1.361343116,0.127444742,1.34569843,0.466853086
0.057,2006,1,2006_01,-0.688499938,1.361343116,0.590285115,0.718177245,0.631726525
0.0236,2006,1,2006_01,-0.688499938,1.361343116,0.590285115,0.718177245,0.631726525
0.0425,2006,1,2006_01,-0.688499938,1.361343116,0.098852287,1.632565257,0.796599964
0.0218,2006,1,2006_01,-0.688499938,1.361343116,0.098852287,1.632565257,0.796599964
0.0137,2006,1,2006_01,-0.688499938,1.361343116,0.813663674,-0.644440183,0.961473403
0.0206,2006,1,2006_01,-0.688499938,1.361343116,0.813663674,-0.644440183,0.961473403
0.0145,2006,1,2006_01,-0.688499938,1.361343116,0.679636539,1.022973249,1.126346842
0.0252,2006,1,2006_01,-0.688499938,1.361343116,0.009500863,-0.644440183,1.291220281
0.0127,2006,1,2006_01,-0.688499938,1.361343116,0.009500863,-0.644440183,1.291220281
0.0352,2006,1,2006_01,-0.688499938,1.361343116,0.992366521,-0.644440183,1.456093721
0.0148,2006,1,2006_01,-0.688499938,1.361343116,0.992366521,-0.644440183,1.456093721
0.0277,2006,1,2006_01,-0.688499938,1.361343116,1.126393656,-0.644440183,1.62096716
0.0242,2006,1,2006_01,-0.688499938,1.361343116,1.126393656,-0.644440183,1.62096716
0.011,2006,1,2006_01,-0.688499938,1.361343116,0.618877571,-0.214139943,1.785840599
0.0014,2006,1,2006_01,-0.688499938,1.361343116,0.618877571,-0.214139943,1.785840599
0.0076,2006,1,2006_01,-0.688499938,1.361343116,1.423040382,-0.644440183,1.950714038
0.0044,2006,1,2006_01,-0.688499938,1.361343116,1.423040382,-0.644440183,1.950714038
0.0162,2006,1,2006_01,-0.688499938,1.361343116,0.590285115,4.949462944,-1.676501622
0.0056,2006,1,2006_01,-0.688499938,1.361343116,0.590285115,4.949462944,-1.676501622
0.015,2006,1,2006_01,-0.688499938,1.361343116,-0.749986236,0.843681482,-1.511628183
0.0153,2006,1,2006_01,-0.688499938,1.361343116,-0.749986236,0.843681482,-1.511628183
0.0035,2006,1,2006_01,-0.688499938,1.361343116,0.813663674,-0.465148416,-1.181881305
0.0554,2006,1,2006_01,-0.688499938,1.361343116,0.813663674,-0.465148416,-1.181881305
0.028,2006,1,2006_01,-0.688499938,1.361343116,-1.375446199,0.180301945,-1.017007866
0.0055,2006,1,2006_01,-0.688499938,1.361343116,-1.375446199,0.180301945,-1.017007866
0.0035,2006,1,2006_01,-0.688499938,1.361343116,-2.493232506,3.730278929,-0.852134427
0.0058,2006,1,2006_01,-0.688499938,1.361343116,-2.493232506,3.730278929,-0.852134427
0.1142,2006,1,2006_01,-0.688499938,1.361343116,-1.062716218,-0.644440183,-0.687260988
0.0757,2006,1,2006_01,-0.688499938,1.361343116,-1.062716218,-0.644440183,-0.687260988
0.0124,2006,1,2006_01,-0.688499938,1.361343116,-0.140609528,-0.50100677,-0.522387549
0.0656,2006,2,2006_02,-0.439260072,-3.02883119,-0.15579927,-0.50100677,-0.522387549
0.0424,2006,2,2006_02,-0.439260072,-3.02883119,0.146208541,-0.644440183,-0.357514109
0.0024,2006,2,2006_02,-0.439260072,-3.02883119,0.146208541,-0.644440183,-0.357514109
0.0271,2006,2,2006_02,-0.439260072,-3.02883119,1.087972544,1.166406663,-0.19264067
0.0083,2006,2,2006_02,-0.439260072,-3.02883119,1.087972544,1.166406663,-0.19264067
0.0618,2006,2,2006_02,-0.439260072,-3.02883119,0.345462215,0.771964775,-0.027767231
0.0469,2006,2,2006_02,-0.439260072,-3.02883119,0.345462215,0.771964775,-0.027767231
0.0347,2006,2,2006_02,-0.439260072,-3.02883119,0.662659768,-0.644440183,0.301979647
0.014,2006,2,2006_02,-0.439260072,-3.02883119,0.464299608,1.34569843,0.466853086
0.0081,2006,2,2006_02,-0.439260072,-3.02883119,0.464299608,1.34569843,0.466853086
0.0229,2006,2,2006_02,-0.439260072,-3.02883119,1.073676316,0.718177245,0.631726525
0.0405,2006,2,2006_02,-0.439260072,-3.02883119,0.189990739,1.632565257,0.796599964
0.1173,2006,2,2006_02,-0.439260072,-3.02883119,0.189990739,1.632565257,0.796599964
0.071,2006,2,2006_02,-0.439260072,-3.02883119,0.692145738,-0.644440183,0.961473403
0.0264,2006,2,2006_02,-0.439260072,-3.02883119,0.692145738,-0.644440183,0.961473403
0.0689,2006,2,2006_02,-0.439260072,-3.02883119,0.592965658,1.022973249,1.126346842
0.0524,2006,2,2006_02,-0.439260072,-3.02883119,0.592965658,1.022973249,1.126346842
0.0461,2006,2,2006_02,-0.439260072,-3.02883119,0.092597687,-0.644440183,1.291220281
0.0464,2006,2,2006_02,-0.439260072,-3.02883119,0.092597687,-0.644440183,1.291220281
0.1129,2006,2,2006_02,-0.439260072,-3.02883119,1.339050044,-0.644440183,1.456093721
0.0736,2006,2,2006_02,-0.439260072,-3.02883119,1.339050044,-0.644440183,1.456093721
0.1263,2006,2,2006_02,-0.439260072,-3.02883119,1.305990017,-0.644440183,1.62096716
0.036,2006,2,2006_02,-0.439260072,-3.02883119,1.305990017,-0.644440183,1.62096716
0.2233,2006,2,2006_02,-0.439260072,-3.02883119,0.923565925,-0.214139943,1.785840599
0.1108,2006,2,2006_02,-0.439260072,-3.02883119,0.923565925,-0.214139943,1.785840599
0.1662,2006,2,2006_02,-0.439260072,-3.02883119,1.678585452,-0.644440183,1.950714038
0.0843,2006,2,2006_02,-0.439260072,-3.02883119,1.678585452,-0.644440183,1.950714038
0.0122,2006,2,2006_02,-0.439260072,-3.02883119,0.832427473,4.949462944,-1.676501622
