Year,Farm,FarmNB,dur,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2011,1,01_01,19.5,1.251160208,SY,-0.721176175,0.302071159,-0.768069615,-0.557204088,-0.240852938,2.551714255,1.693722891
2012,1,01_01,18.5,-0.470998977,SY,0.916999195,2.145457909,-1.451202528,-0.557204088,1.29155917,1.699746906,0.838040612
2008,1,01_01,18,-0.853701018,ASY,0.916999195,0.486876852,-0.491909502,-0.557204088,-0.23808895,2.320150972,0.903748429
2009,1,01_01,19.5,-1.045052039,SY,0.09791151,-1.099649999,-0.230284131,-0.557204088,1.28431431,1.850624492,0.517754245
2010,1,01_01,16.5,-0.853701018,ASY,-0.721176175,-1.489943611,0.612730953,-0.557204088,0.537043848,2.518344944,1.709280416
2014,1,01_01,19.5,-1.045052039,ASY,-0.721176175,-0.425142578,1.223190151,-0.557204088,0.697561221,1.890410036,1.171511361
2013,1,01_02,17.5,2.20791531,ASY,0.09791151,1.019344085,0.016806497,-0.557204088,0.021989644,2.462671894,2.231903148
2008,1,01_02,24.5,-1.236403059,ASY,0.09791151,0.35277597,-0.390166302,-0.557204088,-0.366461115,2.320150972,0.903748429
2014,1,01_02,20.5,0.103054084,ASY,0.916999195,-0.625293149,1.397607065,-0.557204088,1.073143907,1.890410036,1.171511361
2009,1,01_02,19.5,-1.42775408,ASY,0.916999195,-0.999574714,-0.346562074,-0.557204088,0.994102678,1.850624492,0.517754245
2012,1,01_03,18.5,-1.236403059,ASY,0.09791151,0.578278946,-1.160507671,-0.560943889,1.428876239,1.699746906,0.838040612
2013,1,01_03,19.5,0.294405105,ASY,0.916999195,-0.04752517,0.278431868,-0.560943889,0.269907548,2.462671894,2.231903148
2011,1,01_03,17.5,-0.662349998,ASY,-1.540263861,0.735063559,-1.276785614,-0.560943889,-0.142527328,2.551714255,1.693722891
2014,1,01_03,17.5,-0.662349998,ASY,-1.540263861,-0.325067293,0.787147866,-0.560943889,0.825543326,1.890410036,1.171511361
2007,1,01_03,17.5,-0.853701018,ASY,-0.721176175,1.164720116,-0.43377053,-0.560943889,-0.582953469,1.360847608,0.080689682
2009,1,01_03,17.5,-1.045052039,ASY,0.09791151,-1.099649999,-0.230284131,-0.560943889,1.28431431,1.850624492,0.517754245
2008,1,01_03,17.5,-0.853701018,ASY,0.09791151,0.486876852,-0.491909502,-0.560943889,-0.23808895,2.320150972,0.903748429
2013,1,01_04,24.5,-1.6191051,ASY,0.09791151,-1.582946909,0.249362382,-0.560871201,0.556449483,2.462671894,2.231903148
2009,1,01_04,17.5,1.251160208,SY,-1.540263861,0.334762419,1.005169009,-0.560871201,1.698313877,1.850624492,0.517754245
2008,1,01_04,16.5,-0.853701018,ASY,0.09791151,0.486876852,-0.491909502,-0.560871201,-0.23808895,2.320150972,0.903748429
